exp_id,temp_C,conc_mM,cat,rep,yield_pct,react_time_min,purity_pct,batch
1,20,0.1,,1,18.724883,41.9,,C
2,20,0.1,,2,24.130867849414408,45.5,99.5,B
3,20,0.1,,3,24.74384426905035,53.1,99.9,B
4,20,0.1,,4,30.03151492820401,61.3,91.3,C
5,20,0.1,,5,26.542923312638333,49.7,84.8,B
6,20,0.1,,6,31.142931521525412,45.4,85.5,A
7,20,0.1,,7,32.109606407753695,51.8,90.4,B
8,20,0.1,,8,26.423717364576454,48.8,84.1,B
9,20,0.1,,9,24.225262807032525,57.9,93.8,A
10,20,0.1,,10,32.00128002179298,47.4,99.9,A
11,20,0.1,,11,24.718291153593768,57.8,97.2,C
12,20,0.1,TypeA,1,39.70713512321487,62.3,90.8,C
13,20,0.1,TypeA,2,36.75098113578302,66.6,99.2,A
14,20,0.1,TypeA,3,38.6233598776711,32.3,99.9,A
15,20,0.1,TypeA,4,37.22754108374349,55.8,,C
16,20,0.1,TypeA,5,37.25885623537951,23.0,96.7,B
17,20,0.1,TypeA,6,36.09358443983279,48.8,87.7,A
18,20,0.1,TypeA,7,37.627123666297635,44.8,84.0,C
19,20,0.1,TypeA,8,36.8859879622394,44.0,85.1,B
20,20,0.1,TypeA,9,38.80384814933235,32.2,88.7,A
21,20,0.1,TypeA,10,31.392824384460777,28.6,94.7,B
22,20,0.1,TypeA,11,43.57711184975673,39.8,91.2,C
23,20,0.1,TypeB,1,43.653764102343956,70.6,94.5,A
24,20,0.1,TypeB,2,39.30762590689327,56.6,96.3,B
25,20,0.1,TypeB,3,39.51780863773741,47.2,88.2,A
26,20,0.1,TypeB,4,40.89546129485494,32.0,99.9,B
27,20,0.1,TypeB,5,44.36450321128885,24.3,81.8,C
28,20,0.1,TypeB,6,37.81784900917284,44.1,97.8,C
29,20,0.1,TypeB,7,38.7596806550406,56.1,83.9,A
30,20,0.1,TypeB,8,39.11415312510336,43.3,86.4,B
31,20,0.1,TypeB,9,36.8091466938853,51.5,93.5,A
32,20,0.1,TypeB,10,43.97613909225446,23.6,99.9,A
33,20,0.1,TypeC,1,38.86325138763103,67.3,91.7,B
34,20,0.1,TypeC,2,30.481144535522052,51.1,92.8,B
35,20,0.1,TypeC,3,36.55127245605159,20.3,90.1,B
36,20,0.1,TypeC,4,33.21957817501449,34.1,86.4,C
37,20,0.1,TypeC,5,38.88443179750238,50.6,86.7,A
38,20,0.1,TypeC,6,37.550164938060114,40.8,87.1,A
39,20,0.1,TypeC,7,29.815906975550785,38.3,94.8,C
40,20,0.1,TypeC,8,33.01843061793456,47.4,89.3,B
41,20,0.5,,1,41.139233289997705,48.5,,C
42,20,0.5,,2,46.64568414059499,52.3,90.7,C
43,20,0.5,,3,43.80217585880588,38.9,89.8,C
44,20,0.5,,4,43.82944815220535,56.0,83.1,A
45,20,0.5,,5,41.47073900481629,52.8,85.9,C
46,20,0.5,,6,38.81007789580265,55.6,89.6,A
47,20,0.5,,7,49.019680614520105,54.1,92.7,A
48,20,0.5,,8,43.548561113109464,44.0,90.9,A
49,20,0.5,,9,42.131809144784235,30.7,89.5,B
50,20,0.5,TypeA,1,52.45847992231864,34.1,86.0,A
51,20,0.5,TypeA,2,50.1220419846974,62.5,99.3,A
52,20,0.5,TypeA,3,54.02745885979184,39.4,97.2,B
53,20,0.5,TypeA,4,46.37153899984702,52.5,92.7,A
54,20,0.5,TypeA,5,59.795838144420436,51.8,89.8,C
