experiment_id,drug_name,cell_line,concentration_uM,viability_percent,log_concentration,replicate,passage_number,treatment_hours,ic50_estimated
1,Doxorubicin,MCF-7,0.001,102.31,-3.0,1,19,24,0.6055
2,Doxorubicin,MCF-7,0.001,98.7,-3.0,2,19,72,0.6055
3,Doxorubicin,MCF-7,0.001,97.72,-3.0,3,19,24,0.6055
4,Doxorubicin,MCF-7,0.01,98.88,-2.0,1,19,48,0.6055
5,Doxorubicin,MCF-7,0.01,103.77,-2.0,2,19,24,0.6055
6,Doxorubicin,MCF-7,0.01,96.47,-2.0,3,19,72,0.6055
7,Doxorubicin,MCF-7,0.1,90.44,-1.0,1,19,48,0.6055
8,Doxorubicin,MCF-7,0.1,87.52,-1.0,2,19,24,0.6055
9,Doxorubicin,MCF-7,0.1,88.14,-1.0,3,19,48,0.6055
10,Doxorubicin,MCF-7,0.5,54.42,-0.301,1,19,72,0.6055
11,Doxorubicin,MCF-7,0.5,52.75,-0.301,2,19,72,0.6055
12,Doxorubicin,MCF-7,0.5,59.12,-0.301,3,19,48,0.6055
13,Doxorubicin,MCF-7,1.0,42.21,0.0,1,19,72,0.6055
14,Doxorubicin,MCF-7,1.0,39.56,0.0,2,19,48,0.6055
15,Doxorubicin,MCF-7,1.0,37.89,0.0,3,19,24,0.6055
16,Doxorubicin,MCF-7,5.0,6.0,0.699,1,19,24,0.6055
17,Doxorubicin,MCF-7,5.0,8.77,0.699,2,19,24,0.6055
18,Doxorubicin,MCF-7,5.0,12.3,0.699,3,19,24,0.6055
19,Doxorubicin,MCF-7,10.0,7.56,1.0,1,19,24,0.6055
20,Doxorubicin,MCF-7,10.0,4.8,1.0,2,19,24,0.6055
21,Doxorubicin,MCF-7,10.0,0.42,1.0,3,19,48,0.6055
22,Doxorubicin,MCF-7,50.0,0.7,1.699,1,19,48,0.6055
23,Doxorubicin,MCF-7,50.0,0.55,1.699,2,19,48,0.6055
24,Doxorubicin,MCF-7,50.0,1.29,1.699,3,19,24,0.6055
25,Doxorubicin,MCF-7,100.0,0,2.0,1,19,72,0.6055
26,Doxorubicin,MCF-7,100.0,0,2.0,2,19,72,0.6055
27,Doxorubicin,MCF-7,100.0,0,2.0,3,19,24,0.6055
28,Doxorubicin,HeLa,0.001,95.72,-3.0,1,14,48,0.3266
29,Doxorubicin,HeLa,0.001,100.13,-3.0,2,14,48,0.3266
30,Doxorubicin,HeLa,0.001,101.37,-3.0,3,14,24,0.3266
31,Doxorubicin,HeLa,0.01,99.9,-2.0,1,14,48,0.3266
32,Doxorubicin,HeLa,0.01,98.92,-2.0,2,14,72,0.3266
33,Doxorubicin,HeLa,0.01,97.67,-2.0,3,14,24,0.3266
34,Doxorubicin,HeLa,0.1,79.19,-1.0,1,14,48,0.3266
35,Doxorubicin,HeLa,0.1,79.24,-1.0,2,14,72,0.3266
36,Doxorubicin,HeLa,0.1,81.51,-1.0,3,14,24,0.3266
37,Doxorubicin,HeLa,0.5,29.58,-0.301,1,14,48,0.3266
38,Doxorubicin,HeLa,0.5,38.06,-0.301,2,14,48,0.3266
39,Doxorubicin,HeLa,0.5,34.97,-0.301,3,14,72,0.3266
40,Doxorubicin,HeLa,1.0,21.09,0.0,1,14,48,0.3266
41,Doxorubicin,HeLa,1.0,17.35,0.0,2,14,24,0.3266
42,Doxorubicin,HeLa,1.0,15.64,0.0,3,14,48,0.3266
43,Doxorubicin,HeLa,5.0,0.6,0.699,1,14,72,0.3266
44,Doxorubicin,HeLa,5.0,0,0.699,2,14,72,0.3266
45,Doxorubicin,HeLa,5.0,5.85,0.699,3,14,48,0.3266
46,Doxorubicin,HeLa,10.0,1.32,1.0,1,14,24,0.3266
47,Doxorubicin,HeLa,10.0,0,1.0,2,14,24,0.3266
48,Doxorubicin,HeLa,10.0,4.6,1.0,3,14,24,0.3266
49,Doxorubicin,HeLa,50.0,1.48,1.699,1,14,72,0.3266
50,Doxorubicin,HeLa,50.0,0,1.699,2,14,48,0.3266
51,Doxorubicin,HeLa,50.0,1.18,1.699,3,14,72,0.3266
52,Doxorubicin,HeLa,100.0,3.87,2.0,1,14,48,0.3266
53,Doxorubicin,HeLa,100.0,0,2.0,2,14,48,0.3266
54,Doxorubicin,HeLa,100.0,0,2.0,3,14,48,0.3266
55,Doxorubicin,A549,0.001,101.74,-3.0,1,12,48,0.3634
56,Doxorubicin,A549,0.001,100.57,-3.0,2,12,72,0.3634
57,Doxorubicin,A549,0.001,104.42,-3.0,3,12,48,0.3634
58,Doxorubicin,A549,0.01,99.37,-2.0,1,12,72,0.3634
59,Doxorubicin,A549,0.01,94.38,-2.0,2,12,48,0.3634
60,Doxorubicin,A549,0.01,96.97,-2.0,3,12,72,0.3634
61,Doxorubicin,A549,0.1,82.37,-1.0,1,12,24,0.3634
62,Doxorubicin,A549,0.1,86.37,-1.0,2,12,24,0.3634
