campaign_id,date,platform,ad_format,target_audience,budget_usd,impressions,clicks,ctr,conversions,cost_per_click,cost_per_conversion,revenue,roas
1,2024-07-01,Facebook,video,25-34,99.9,6091,41,0.0068,0,2.44,,0.0,0.0
2,2024-07-01,Facebook,carousel,25-34,228.59,4168,72,0.0175,0,3.17,,0,0.0
3,2024-07-01,Facebook,video,45-54,206.03,15720,160,0.0102,5,1.29,41.21,50,0.24
4,2024-07-01,Instagram,search,25-34,107.74,7802,95,0.0122,1,1.13,107.74,34.44,0.32
5,2024-07-01,TikTok,search,55+,134.93,7827,169,0.0217,5,0.8,26.99,299.65,2.22
6,2024-07-01,TikTok,story,55+,20,843,17,0.0202,0,1.18,,0.0,0.0
7,2024-07-01,TikTok,video,35-44,267.06,14969,332,0.0222,6,0.8,44.51,433.38,1.62
8,2024-07-01,LinkedIn,video,35-44,182.03,10085,10,0.001,0,18.2,,0.0,0.0
9,2024-07-02,Google,search,45-54,219.12,14236,622,0.0437,13,0.35,16.86,736.17,3.36
10,2024-07-02,Google,carousel,35-44,133.81,16136,531,0.0329,16,0.25,8.36,518.32,3.87
11,2024-07-02,Google,display,45-54,72.12,3987,155,0.039,0,0.47,,0.0,0.0
12,2024-07-02,Facebook,search,35-44,208.69,22331,347,0.0156,13,0.6,16.05,1039.97,4.98
13,2024-07-02,Facebook,search,25-34,204.81,19583,146,0.0075,3,1.4,68.27,291.01,1.42
14,2024-07-02,Facebook,story,18-24,238.81,19746,125,0.0063,0,1.91,,0.0,0.0
15,2024-07-02,TikTok,display,45-54,45.27,2806,59,0.0214,2,0.77,22.64,179.99,3.98
16,2024-07-02,TikTok,search,35-44,261.32,15581,407,0.0262,16,0.64,16.33,610.18,2.33
17,2024-07-02,LinkedIn,video,25-34,151.1,6081,122,0.0202,6,1.24,25.18,482.54,3.19
18,2024-07-03,Google,display,18-24,161.56,1853,64,0.0346,1,2.52,161.56,72.47,0.45
19,2024-07-03,Facebook,video,25-34,122.79,11567,154,0.0134,2,0.8,61.4,101.06,0.82
20,2024-07-03,Facebook,display,25-34,192.83,8323,123,0.0148,3,1.57,64.28,258.03,1.34
21,2024-07-03,Facebook,search,25-34,124.14,13310,70,0.0053,4,1.77,31.04,118.14,0.95
22,2024-07-03,Instagram,story,18-24,225.17,10293,270,0.0263,3,0.83,75.06,30,0.13
23,2024-07-03,LinkedIn,story,35-44,29.47,2752,25,0.0094,1,1.18,29.47,26.58,0.9
24,2024-07-04,Google,story,25-34,69.41,3870,159,0.0412,5,0.44,13.88,601.09,8.66
25,2024-07-04,Facebook,carousel,55+,178.64,10951,102,0.0093,0,1.75,,0.0,0.0
26,2024-07-04,Facebook,display,45-54,54.09,1796,15,0.0084,0,3.61,,0.0,0.0
27,2024-07-04,Instagram,search,45-54,118.94,5986,39,0.0066,1,3.05,118.94,66.77,0.56
28,2024-07-04,Instagram,story,18-24,92.2,6799,122,0.018,2,0.76,46.1,61.86,0.67
29,2024-07-04,TikTok,display,35-44,25.65,943,18,0.0196,0,1.42,,0.0,0.0
30,2024-07-04,TikTok,video,35-44,67.67,2013,31,0.0154,1,2.18,67.67,78.55,1.16
31,2024-07-04,TikTok,display,18-24,72.15,2276,41,0.0181,1,1.76,72.15,93.64,1.3
32,2024-07-04,LinkedIn,story,45-54,172.63,11372,71,0.0063,4,2.43,43.16,224.74,1.3
33,2024-07-04,LinkedIn,carousel,35-44,133.53,8990,168,0.0188,2,0.79,66.77,118.41,0.89
34,2024-07-05,Google,story,25-34,41.6,2655,124,0.0468,2,0.34,20.8,155.45,3.74
35,2024-07-05,Google,video,45-54,127.75,3524,116,0.0329,2,1.1,63.88,97.33,0.76
36,2024-07-05,Instagram,story,45-54,76.53,6845,97,0.0142,0,0.79,,0.0,0.0
37,2024-07-05,TikTok,story,35-44,182.93,16421,404,0.0246,15,0.45,12.2,1022.57,5.59
38,2024-07-05,TikTok,story,35-44,217.0,12167,289,0.0238,13,0.75,16.69,676.36,3.12
39,2024-07-06,Google,video,25-34,109.6,5946,137,0.0231,3,0.8,36.53,253.75,2.32
40,2024-07-06,Google,display,55+,258.33,13867,491,0.0354,21,0.53,12.3,1642.84,6.36
41,2024-07-06,Facebook,carousel,25-34,109.11,6996,91,0.0131,1,1.2,109.11,99.11,0.91
42,2024-07-07,Google,search,55+,20,1140,32,0.0282,2,0.62,10.0,123.13,6.16
