customer_id,tenure_months,monthly_charges,total_charges,contract_type,payment_method,num_support_tickets,avg_monthly_usage_gb,num_products,has_premium,satisfaction_score,age_group,churned
1,7,67.48,473.73,Month-to-Month,Credit_Card,0,13.72,5,1,2,36-45,0
2,15,48.75,768.61,One-Year,E-Wallet,1,17.54,3,0,3,36-45,1
3,1,50.45,47.74,Month-to-Month,Credit_Card,8,8.76,3,1,3,46-55,0
4,12,102.44,1250.56,Month-to-Month,E-Wallet,0,5.32,2,0,4,18-25,1
5,23,93.25,2165.92,Month-to-Month,Credit_Card,0,9.02,5,0,2,36-45,0
6,15,37.41,540.47,One-Year,E-Wallet,9,18.41,1,1,4,18-25,0
7,41,41.81,1785.11,Two-Year,E-Wallet,0,29.48,3,0,3,46-55,0
8,41,92.34,4099.28,Two-Year,Credit_Card,5,10.55,3,1,2,46-55,0
9,1,113.38,111.21,Month-to-Month,E-Wallet,1,4.85,1,1,3,36-45,1
10,14,105.08,1569.05,Month-to-Month,Bank_Transfer,4,18.79,2,0,2,56+,0
11,1,83.7,80.35,Month-to-Month,E-Wallet,4,11.85,2,0,1,18-25,0
12,45,100.95,4994.31,One-Year,Bank_Transfer,0,25.03,5,0,4,26-35,1
13,7,63.83,494.46,Month-to-Month,Credit_Card,4,10.92,2,1,4,56+,0
14,23,120.87,2691.11,One-Year,Bank_Transfer,4,19.6,1,0,3,56+,0
15,26,54.82,1456.58,Month-to-Month,Credit_Card,2,0.5,5,1,3,46-55,0
16,54,95.36,5078.01,Two-Year,Auto_Debit,6,28.01,5,1,3,26-35,0
17,19,101.91,2022.61,Month-to-Month,Auto_Debit,0,15.83,4,0,4,56+,0
18,23,101.11,2500.05,Month-to-Month,E-Wallet,5,20.82,5,0,1,18-25,0
19,22,21.05,479.79,Month-to-Month,Auto_Debit,1,16.77,3,1,4,26-35,0
20,27,88.71,2313.96,Month-to-Month,Bank_Transfer,1,4.57,2,1,3,56+,0
