order_id,customer_id,order_date,category,unit_price,quantity,total_amount,channel,returned,rating
10001,871,2023-06-17,Electronics,165.21,3,495.63,Mobile,0,4
10002,163,2023-11-09,Home & Garden,29.09,3,87.27,Mobile,0,5
10003,871,2023-02-25,Clothing,106.29,1,106.29,Web,0,3
10004,612,2023-10-22,Toys,5,1,5,In-Store,0,5
10005,485,2023-10-26,Sports,46.33,1,46.33,Web,0,4
10006,523,2023-01-21,Home & Garden,41.99,1,41.99,Web,0,1
10007,296,2023-10-30,Toys,52.51,1,52.51,Mobile,0,4
10008,961,2023-09-08,Electronics,143.2,3,429.6,Web,0,
10009,600,2023-02-09,Books,5,1,5,In-Store,0,5
10010,454,2023-09-10,Electronics,180.89,1,180.89,Mobile,0,4
10011,466,2023-08-23,Home & Garden,105.3,1,105.3,In-Store,0,4
10012,412,2023-11-19,Electronics,148.1,3,444.3,In-Store,0,4
10013,785,2023-07-26,Electronics,5,3,15,Mobile,0,5
10014,645,2023-03-31,Toys,52.09,1,52.09,In-Store,1,4
10015,144,2023-06-30,Clothing,21.39,1,21.39,Mobile,0,3
10016,641,2023-04-10,Electronics,159.39,2,318.78,In-Store,0,3
10017,976,2023-01-08,Toys,24.05,4,96.2,Mobile,1,2
10018,594,2023-12-07,Clothing,17.04,4,68.16,Web,0,4
10019,977,2023-10-10,Electronics,218.06,1,218.06,In-Store,0,5
10020,976,2023-01-18,Clothing,72.8,4,291.2,Web,0,4
10021,976,2023-08-11,Clothing,31.22,2,62.44,Mobile,0,5
10022,446,2023-10-23,Books,5,2,10,Mobile,0,
10023,104,2023-03-19,Electronics,10.43,5,52.15,In-Store,0,3
10024,189,2023-08-17,Sports,59.74,1,59.74,Web,0,
10025,425,2023-05-30,Toys,5,4,20,Mobile,0,5
10026,388,2023-11-28,Toys,35.55,1,35.55,Mobile,0,5
10027,569,2023-04-30,Electronics,5,2,10,In-Store,0,5
10028,238,2023-06-07,Toys,11.12,1,11.12,Web,0,5
10029,855,2023-08-02,Toys,10.71,2,21.42,Web,0,5
10030,253,2023-02-11,Sports,99.55,1,99.55,Web,0,5
10031,164,2023-04-01,Clothing,37.45,3,112.35,Mobile,0,5
10032,261,2023-11-11,Toys,25.57,4,102.28,Mobile,0,5
10033,244,2023-05-20,Sports,24.06,1,24.06,Web,0,3
10034,937,2023-01-17,Books,53.16,3,159.48,Mobile,1,5
10035,196,2023-12-14,Home & Garden,5,1,5,Mobile,0,4
10036,501,2023-12-26,Electronics,53.6,1,53.6,Web,0,2
10037,315,2023-01-10,Books,16.94,1,16.94,Mobile,1,4
10038,141,2023-12-27,Clothing,50.21,1,50.21,Mobile,0,5
10039,372,2023-07-06,Toys,50.75,1,50.75,Web,0,5
10040,743,2023-12-20,Electronics,230.58,1,230.58,Mobile,0,3
10041,760,2023-11-26,Clothing,100.64,1,100.64,In-Store,0,5
10042,283,2023-03-21,Clothing,41.82,1,41.82,Web,0,5
10043,198,2023-06-19,Toys,41.93,3,125.79,Web,0,4
10044,831,2023-12-30,Sports,111.14,1,111.14,Web,0,5
10045,834,2023-02-17,Toys,32.25,1,32.25,In-Store,0,5
10046,652,2023-01-24,Toys,19.87,1,19.87,Web,0,4
10047,548,2023-09-26,Clothing,47.37,1,47.37,Mobile,0,5
10048,258,2023-05-24,Clothing,26.2,2,52.4,Mobile,0,3
10049,151,2023-05-09,Electronics,118.56,1,118.56,Mobile,0,4
10050,757,2023-08-22,Toys,50.33,4,201.32,In-Store,0,4
10051,477,2023-03-06,Sports,47.12,1,47.12,Mobile,0,4
10052,924,2023-12-03,Toys,60.36,3,181.08,Web,0,4
10053,642,2023-02-08,Home & Garden,5,1,5,Mobile,0,4
10054,525,2023-10-01,Sports,47.29,1,47.29,Web,1,1
10055,921,2023-01-27,Books,14.07,1,14.07,Web,0,2
10056,546,2023-04-21,Electronics,219.11,3,657.33,Mobile,0,5
10057,491,2023-12-30,Sports,73.38,1,73.38,In-Store,0,3
10058,965,2023-10-27,Home & Garden,5,2,10,Web,0,4
10059,225,2023-01-22,Sports,70.67,3,212.01,Mobile,0,4
10060,749,2023-06-26,Toys,26.41,1,26.41,Mobile,0,2
10061,673,2023-11-07,Toys,30.94,3,92.82,In-Store,1,2
10062,672,2023-03-30,Toys,29.23,3,87.69,Web,0,5
10063,538,2023-01-31,Home & Garden,165.75,1,165.75,Web,0,5
10064,810,2023-02-11,Clothing,48.19,1,48.19,Web,1,3
10065,251,2023-07-28,Electronics,342.77,1,342.77,Mobile,0,4
10066,586,2023-11-23,Toys,5.22,1,5.22,Web,0,
10067,210,2023-03-07,Electronics,74.24,3,222.72,Web,0,5
10068,821,2023-03-20,Clothing,78.36,1,78.36,Mobile,0,5
10069,669,2023-06-21,Toys,44.91,1,44.91,Web,0,3
10070,991,2023-02-03,Toys,13.15,1,13.15,Web,0,4
10071,759,2023-08-15,Books,14.66,2,29.32,Web,0,3
10072,320,2023-07-06,Books,29.22,2,58.44,Web,0,5
10073,265,2023-06-07,Electronics,390.92,2,781.84,Web,0,5
10074,913,2023-10-12,Home & Garden,14.94,1,14.94,Web,0,3
10075,991,2023-01-05,Electronics,5,3,15,Mobile,0,4
10076,167,2023-08-12,Sports,80.36,2,160.72,Mobile,0,4
10077,156,2023-04-18,Home & Garden,93.32,1,93.32,Web,0,5
10078,847,2023-12-24,Toys,13.84,2,27.68,Mobile,0,5
10079,375,2023-09-29,Toys,43.15,1,43.15,Web,0,5
10080,716,2023-11-21,Toys,5,1,5,Mobile,0,4
10081,807,2023-12-21,Home & Garden,98.97,1,98.97,Web,0,4
10082,320,2023-12-22,Clothing,44.75,1,44.75,Web,0,2
10083,803,2023-12-14,Electronics,179.42,1,179.42,In-Store,0,4
10084,616,2023-05-08,Toys,53.53,1,53.53,Web,0,4
10085,636,2023-02-07,Home & Garden,52.9,1,52.9,Mobile,0,5
10086,860,2023-03-02,Clothing,5,1,5,Mobile,0,4
10087,920,2023-01-26,Toys,28.99,1,28.99,Mobile,0,2
10088,497,2023-05-20,Books,32.68,1,32.68,Mobile,0,4
10089,198,2023-06-25,Books,35.69,2,71.38,Mobile,0,3
10090,220,2023-04-27,Home & Garden,216.47,1,216.47,Web,0,5
10091,564,2023-09-23,Toys,23.43,1,23.43,In-Store,0,5
10092,254,2023-09-23,Clothing,42.73,1,42.73,Web,0,5
10093,763,2023-01-17,Clothing,5,2,10,In-Store,1,1
10094,270,2023-07-18,Books,28.46,1,28.46,Mobile,0,5
10095,443,2023-03-07,Home & Garden,117.18,4,468.72,Web,0,4
10096,869,2023-10-07,Books,18.41,1,18.41,Web,0,2
10097,558,2023-02-23,Electronics,213.45,4,853.8,Web,0,3
10098,479,2023-07-31,Toys,43.0,2,86.0,Web,0,4
10099,202,2023-11-25,Books,31.68,2,63.36,Web,0,4
10100,837,2023-10-21,Clothing,23.64,1,23.64,Web,0,4
10101,380,2023-04-27,Sports,60.9,4,243.6,In-Store,1,2
10102,777,2023-01-08,Home & Garden,138.55,1,138.55,Mobile,0,5
10103,749,2023-03-26,Electronics,75.21,2,150.42,Web,0,4
10104,603,2023-08-12,Electronics,128.15,2,256.3,Web,0,5
10105,153,2023-11-06,Sports,16.94,1,16.94,Web,0,4
10106,508,2023-04-21,Sports,18.18,1,18.18,Mobile,0,
10107,340,2023-12-31,Clothing,48.71,1,48.71,Mobile,0,5
10108,308,2023-08-19,Toys,66.73,1,66.73,Web,0,4
10109,206,2023-06-08,Sports,74.69,3,224.07,Mobile,0,
10110,369,2023-07-31,Electronics,71.25,1,71.25,Web,0,
10111,227,2023-09-24,Sports,10.86,1,10.86,Web,0,4
10112,427,2023-11-02,Books,21.41,1,21.41,Web,0,4
10113,176,2023-12-20,Electronics,446.76,1,446.76,Web,0,5
10114,904,2023-09-13,Home & Garden,18.71,1,18.71,Web,0,4
10115,672,2023-08-16,Toys,20.2,2,40.4,Mobile,0,5
10116,213,2023-03-04,Toys,14.87,1,14.87,Web,0,4
10117,948,2023-12-20,Books,13.12,1,13.12,Mobile,0,4
10118,923,2023-04-18,Electronics,141.45,1,141.45,Web,0,4
10119,658,2023-06-14,Books,26.98,2,53.96,Web,0,4
10120,340,2023-07-19,Books,5,1,5,Web,0,4
10121,682,2023-07-09,Electronics,281.45,2,562.9,Web,1,3
10122,826,2023-10-04,Books,46.89,1,46.89,Mobile,0,5
10123,483,2023-04-25,Toys,35.41,2,70.82,Mobile,0,3
10124,631,2023-06-08,Electronics,297.24,1,297.24,Web,0,3
10125,597,2023-07-10,Books,33.6,1,33.6,Web,0,4
10126,324,2023-12-26,Home & Garden,62.34,2,124.68,Web,0,1
10127,343,2023-09-01,Clothing,21.5,1,21.5,Mobile,0,3
10128,511,2023-07-22,Electronics,318.15,1,318.15,Mobile,0,4
10129,200,2023-04-05,Books,21.8,2,43.6,In-Store,0,5
10130,791,2023-08-11,Home & Garden,116.28,1,116.28,Web,0,4
10131,924,2023-02-16,Sports,35.83,1,35.83,Web,0,5
10132,679,2023-08-18,Sports,100.12,1,100.12,Web,0,3
10133,937,2023-02-15,Clothing,31.04,2,62.08,Web,0,4
10134,215,2023-03-13,Books,22.1,2,44.2,Web,1,2
10135,428,2023-09-12,Books,29.62,2,59.24,In-Store,0,5
10136,849,2023-01-09,Electronics,82.1,1,82.1,In-Store,0,4
10137,786,2023-07-04,Clothing,134.47,2,268.94,Mobile,0,3
10138,647,2023-02-06,Toys,18.07,2,36.14,In-Store,0,4
10139,299,2023-05-20,Clothing,90.43,2,180.86,Web,0,4
10140,835,2023-07-20,Clothing,77.59,2,155.18,Web,0,5
10141,830,2023-07-10,Home & Garden,77.02,1,77.02,Web,0,4
10142,969,2023-03-27,Electronics,130.7,1,130.7,Mobile,1,3
10143,817,2023-09-18,Books,39.68,1,39.68,Web,0,4
10144,377,2023-04-15,Clothing,25.7,2,51.4,In-Store,1,1
10145,738,2023-04-29,Electronics,182.1,1,182.1,Mobile,0,4
10146,659,2023-12-31,Electronics,545.02,2,1090.04,Web,0,5
10147,891,2023-07-01,Home & Garden,73.64,3,220.92,Web,0,5
10148,768,2023-02-11,Electronics,263.23,1,263.23,Web,1,3
10149,291,2023-03-26,Books,32.76,4,131.04,Mobile,0,5
10150,938,2023-08-06,Books,26.26,3,78.78,Mobile,0,4
10151,806,2023-05-11,Clothing,42.07,1,42.07,Web,0,5
10152,426,2023-09-10,Sports,41.05,1,41.05,Web,0,5
10153,402,2023-03-06,Books,8.27,5,41.35,Mobile,0,4
10154,938,2023-07-30,Sports,110.82,3,332.46,Web,0,3
10155,558,2023-03-09,Clothing,67.74,1,67.74,Mobile,0,4
10156,346,2023-05-03,Sports,100.4,1,100.4,In-Store,0,3
10157,110,2023-04-19,Electronics,5,3,15,Mobile,0,3
10158,966,2023-07-21,Books,22.79,1,22.79,Mobile,0,5
10159,637,2023-04-04,Clothing,34.91,1,34.91,In-Store,1,3
10160,338,2023-09-06,Home & Garden,104.97,1,104.97,Web,0,5
10161,362,2023-10-09,Home & Garden,131.96,1,131.96,Mobile,0,4
10162,320,2023-11-13,Books,14.28,1,14.28,Web,0,2
10163,502,2023-03-01,Books,12.53,2,25.06,Web,0,2
10164,496,2023-03-20,Toys,23.74,4,94.96,Mobile,0,5
10165,665,2023-05-13,Home & Garden,139.19,2,278.38,In-Store,0,3
10166,127,2023-01-08,Electronics,282.59,3,847.77,Web,0,3
10167,807,2023-05-18,Electronics,318.14,1,318.14,Mobile,1,3
10168,914,2023-09-26,Toys,17.55,5,87.75,In-Store,0,5
10169,957,2023-03-17,Electronics,293.86,3,881.58,In-Store,0,5
10170,892,2023-07-28,Clothing,29.28,1,29.28,Mobile,0,5
10171,353,2023-10-18,Electronics,236.43,1,236.43,Mobile,0,2
10172,563,2023-07-21,Books,6.79,2,13.58,Web,0,5
10173,237,2023-04-26,Home & Garden,145.33,4,581.32,Mobile,0,3
10174,784,2023-01-17,Electronics,326.7,1,326.7,Web,0,5
10175,557,2023-07-02,Electronics,255.04,1,255.04,Web,0,4
10176,498,2023-01-25,Sports,5,1,5,Web,0,3
10177,169,2023-04-21,Sports,97.47,5,487.35,Mobile,0,4
10178,801,2023-10-24,Electronics,289.71,3,869.13,Web,0,3
10179,676,2023-06-15,Books,25.21,3,75.63,Web,0,4
10180,729,2023-04-24,Home & Garden,78.57,4,314.28,In-Store,0,4
10181,991,2023-08-20,Books,9.45,3,28.35,Mobile,0,3
10182,809,2023-03-11,Toys,23.31,5,116.55,Mobile,0,4
10183,765,2023-08-02,Clothing,53.81,2,107.62,Mobile,0,5
10184,153,2023-07-16,Books,9.25,2,18.5,Mobile,0,5
10185,491,2023-11-04,Books,32.04,1,32.04,Mobile,1,3
10186,300,2023-04-29,Electronics,502.59,1,502.59,Web,0,4
10187,992,2023-01-27,Home & Garden,5,1,5,Mobile,0,5
10188,586,2023-07-15,Home & Garden,64.49,1,64.49,Mobile,0,4
10189,955,2023-03-28,Sports,27.25,2,54.5,Web,0,5
10190,733,2023-09-25,Clothing,36.73,4,146.92,Web,0,5
10191,419,2023-08-05,Books,20.48,3,61.44,Mobile,0,3
10192,400,2023-12-23,Clothing,9.54,1,9.54,Web,1,3
10193,281,2023-09-05,Toys,19.01,1,19.01,In-Store,0,5
10194,741,2023-10-16,Clothing,5,2,10,Mobile,0,5
10195,882,2023-11-10,Toys,45.76,1,45.76,Mobile,0,4
10196,342,2023-08-30,Home & Garden,67.11,2,134.22,Mobile,0,5
10197,252,2023-02-09,Toys,12.31,5,61.55,In-Store,0,
10198,783,2023-11-19,Home & Garden,131.36,1,131.36,Mobile,0,5
10199,406,2023-02-05,Sports,100.77,1,100.77,Web,0,5
10200,198,2023-05-09,Clothing,5,2,10,Mobile,0,4
10201,580,2023-10-16,Home & Garden,101.1,2,202.2,In-Store,0,4
10202,178,2023-04-22,Sports,89.16,1,89.16,Web,1,3
10203,719,2023-08-02,Clothing,38.08,1,38.08,In-Store,0,2
10204,622,2023-08-02,Clothing,56.03,1,56.03,Web,0,4
10205,241,2023-08-05,Books,34.12,1,34.12,Mobile,0,5
10206,677,2023-07-03,Sports,14.5,3,43.5,Web,0,5
10207,283,2023-11-19,Home & Garden,107.08,1,107.08,In-Store,1,1
10208,950,2023-05-25,Books,33.9,2,67.8,Mobile,0,5
10209,882,2023-08-20,Sports,38.7,1,38.7,Web,0,5
10210,463,2023-10-03,Home & Garden,122.89,1,122.89,Web,0,4
10211,108,2023-08-26,Electronics,328.64,2,657.28,Mobile,0,5
10212,972,2023-08-24,Sports,5,4,20,Web,0,5
10213,298,2023-11-21,Books,12.95,1,12.95,Mobile,0,1
10214,146,2023-09-29,Books,5,1,5,Web,0,3
10215,727,2023-05-04,Home & Garden,54.26,1,54.26,Web,0,3
10216,210,2023-11-29,Books,15.15,2,30.3,Web,0,5
10217,198,2023-03-08,Toys,16.19,1,16.19,Web,0,3
10218,492,2023-12-24,Toys,37.35,3,112.05,In-Store,0,4
10219,218,2023-07-29,Books,49.94,1,49.94,Web,0,5
10220,180,2023-05-17,Electronics,584.3,1,584.3,Web,0,5
10221,640,2023-09-05,Toys,9.1,3,27.3,Web,0,4
10222,647,2023-04-16,Home & Garden,184.95,3,554.85,Web,0,4
10223,957,2023-11-13,Books,28.72,1,28.72,Mobile,0,4
10224,980,2023-01-12,Home & Garden,75.37,2,150.74,Mobile,0,5
10225,662,2023-11-03,Clothing,5,1,5,Mobile,0,4
10226,653,2023-06-08,Books,26.17,2,52.34,Web,0,5
10227,328,2023-03-14,Home & Garden,86.6,3,259.8,Web,0,5
10228,749,2023-11-02,Sports,35.49,3,106.47,Web,0,5
10229,191,2023-05-30,Electronics,136.09,1,136.09,Mobile,0,3
10230,186,2023-03-17,Toys,5,1,5,Web,0,4
10231,694,2023-07-27,Home & Garden,180.14,3,540.42,Web,0,4
10232,806,2023-03-23,Toys,29.58,1,29.58,In-Store,0,4
10233,252,2023-08-24,Electronics,312.39,2,624.78,Mobile,0,5
10234,193,2023-06-22,Electronics,324.85,2,649.7,Web,0,3
10235,483,2023-09-20,Sports,67.13,2,134.26,In-Store,0,3
10236,400,2023-06-14,Clothing,66.72,1,66.72,In-Store,0,4
10237,150,2023-02-17,Clothing,82.19,2,164.38,Mobile,0,4
10238,180,2023-01-09,Home & Garden,5,3,15,Web,0,4
10239,981,2023-07-15,Books,48.35,2,96.7,Mobile,0,5
10240,297,2023-03-18,Home & Garden,14.6,1,14.6,Web,0,5
10241,194,2023-09-17,Home & Garden,71.55,1,71.55,In-Store,0,3
10242,570,2023-01-02,Clothing,101.68,4,406.72,Mobile,1,4
10243,290,2023-09-19,Clothing,21.31,1,21.31,Mobile,0,5
10244,604,2023-09-12,Sports,49.74,3,149.22,Mobile,0,4
10245,608,2023-10-11,Electronics,172.14,1,172.14,Mobile,0,4
10246,125,2023-08-18,Sports,49.4,2,98.8,Web,0,5
10247,890,2023-04-08,Electronics,208.38,5,1041.9,Mobile,0,4
10248,982,2023-11-17,Sports,156.96,2,313.92,Mobile,0,1
10249,562,2023-01-20,Clothing,95.9,1,95.9,Web,0,4
10250,928,2023-11-06,Sports,9.75,2,19.5,In-Store,1,3
10251,735,2023-02-23,Toys,29.41,1,29.41,Mobile,0,5
10252,967,2023-08-04,Home & Garden,99.98,1,99.98,In-Store,0,4
10253,822,2023-08-17,Clothing,50.23,2,100.46,Web,0,5
10254,475,2023-04-21,Toys,22.15,1,22.15,Web,0,3
10255,841,2023-12-31,Home & Garden,99.71,3,299.13,Web,0,2
10256,134,2023-02-14,Books,13.26,1,13.26,Web,0,5
10257,675,2023-04-12,Books,17.66,1,17.66,Web,0,5
10258,937,2023-08-31,Electronics,276.2,2,552.4,In-Store,0,5
10259,360,2023-10-28,Sports,55.46,2,110.92,Mobile,0,4
10260,350,2023-11-15,Clothing,42.14,1,42.14,Web,0,4
10261,163,2023-03-04,Home & Garden,77.3,1,77.3,Mobile,0,2
10262,313,2023-10-14,Sports,55.95,1,55.95,Web,0,2
10263,655,2023-03-03,Home & Garden,144.46,2,288.92,Web,0,5
10264,152,2023-07-24,Toys,29.71,3,89.13,In-Store,0,4
10265,526,2023-02-10,Toys,5,1,5,In-Store,0,5
10266,145,2023-04-26,Sports,52.34,3,157.02,Web,0,5
10267,137,2023-10-27,Electronics,347.9,1,347.9,Web,0,1
10268,819,2023-01-30,Sports,56.06,1,56.06,Web,0,4
10269,481,2023-08-31,Toys,8.44,3,25.32,In-Store,0,4
10270,658,2023-03-19,Home & Garden,157.86,1,157.86,Web,0,5
10271,341,2023-10-08,Books,13.24,1,13.24,Web,0,4
10272,179,2023-11-24,Home & Garden,56.24,3,168.72,In-Store,0,
10273,441,2023-07-14,Electronics,307.14,4,1228.56,Web,0,3
10274,848,2023-12-10,Clothing,13.81,2,27.62,Mobile,0,5
10275,380,2023-10-06,Books,27.54,2,55.08,Mobile,0,1
10276,815,2023-04-02,Electronics,157.06,2,314.12,Web,0,4
10277,256,2023-08-19,Home & Garden,56.97,4,227.88,In-Store,0,4
10278,274,2023-02-22,Home & Garden,98.32,2,196.64,Web,0,5
10279,361,2023-02-09,Electronics,5,3,15,Web,1,3
10280,693,2023-03-15,Electronics,110.28,1,110.28,In-Store,0,5
10281,191,2023-11-27,Toys,26.52,1,26.52,Mobile,0,2
10282,187,2023-12-26,Sports,35.18,4,140.72,Mobile,0,5
10283,363,2023-12-31,Home & Garden,49.27,3,147.81,Web,0,2
10284,249,2023-07-21,Books,36.56,4,146.24,Mobile,0,5
10285,744,2023-06-18,Clothing,84.18,1,84.18,In-Store,0,4
10286,800,2023-11-17,Toys,30.6,3,91.8,Web,0,5
10287,477,2023-10-05,Clothing,25.68,1,25.68,Mobile,1,4
10288,749,2023-07-04,Sports,70.42,3,211.26,Web,0,5
10289,770,2023-07-30,Toys,19.49,3,58.47,Web,0,4
10290,769,2023-11-27,Books,11.09,2,22.18,Mobile,0,1
10291,344,2023-11-22,Home & Garden,111.53,2,223.06,Web,0,5
10292,912,2023-06-11,Books,24.05,1,24.05,Web,0,3
10293,695,2023-01-08,Electronics,263.01,1,263.01,Mobile,0,4
10294,175,2023-04-30,Home & Garden,51.55,1,51.55,Web,0,5
10295,960,2023-11-24,Books,41.96,1,41.96,Mobile,0,4
10296,407,2023-08-10,Books,31.85,1,31.85,Web,0,5
10297,728,2023-10-24,Sports,54.07,2,108.14,In-Store,0,5
10298,380,2023-01-11,Clothing,37.54,1,37.54,Web,0,5
10299,233,2023-07-13,Books,5,1,5,In-Store,0,3
10300,749,2023-11-14,Books,18.2,1,18.2,Mobile,0,2
10301,805,2023-03-14,Books,16.13,2,32.26,Mobile,0,5
10302,698,2023-03-26,Home & Garden,30.07,1,30.07,Mobile,0,2
10303,529,2023-07-28,Home & Garden,53.24,1,53.24,Mobile,0,4
10304,375,2023-05-01,Toys,54.77,2,109.54,Web,0,5
10305,119,2023-04-09,Sports,58.1,2,116.2,In-Store,0,4
10306,610,2023-07-04,Home & Garden,107.36,3,322.08,Mobile,0,5
10307,726,2023-02-07,Toys,20.75,5,103.75,Web,1,5
10308,960,2023-02-18,Books,29.27,3,87.81,Mobile,0,3
10309,213,2023-03-03,Toys,26.79,1,26.79,In-Store,0,4
10310,103,2023-07-16,Electronics,93.9,1,93.9,Web,0,1
10311,950,2023-03-14,Electronics,313.98,2,627.96,Mobile,0,5
10312,743,2023-12-11,Home & Garden,67.37,1,67.37,Mobile,0,5
10313,722,2023-11-27,Books,25.73,1,25.73,Web,0,2
10314,763,2023-05-26,Home & Garden,5,1,5,In-Store,0,4
10315,770,2023-04-21,Electronics,260.59,3,781.77,Web,1,3
10316,446,2023-07-29,Toys,31.41,1,31.41,Mobile,0,3
10317,928,2023-05-31,Books,39.67,2,79.34,Web,0,
10318,524,2023-04-22,Clothing,29.26,4,117.04,Mobile,0,4
10319,954,2023-03-01,Sports,9.37,1,9.37,Mobile,0,4
10320,284,2023-02-04,Electronics,5,3,15,Web,0,4
10321,989,2023-06-13,Electronics,66.79,3,200.37,Mobile,0,3
10322,827,2023-08-01,Clothing,96.43,4,385.72,In-Store,0,4
10323,521,2023-09-08,Books,17.25,3,51.75,Mobile,0,4
10324,924,2023-09-10,Sports,60.63,1,60.63,In-Store,1,2
