session_id,user_id,timestamp,device,traffic_source,duration_seconds,pages_viewed,bounce,converted,cart_value
S000001,8393,2024-04-14 06:12,Mobile,Social,44,3,0,0,0
S000002,7974,2024-06-05 20:33,Desktop,Paid,291,4,0,0,0
S000003,1751,2024-03-04 08:28,Mobile,Organic,3,1,1,0,0
S000004,3088,2024-04-07 08:00,Mobile,Organic,238,2,0,0,0
S000005,8536,2024-03-01 09:57,Mobile,Paid,115,2,0,0,0
S000006,3589,2024-02-19 12:25,Desktop,Organic,53,1,1,0,0
S000007,7388,2024-02-20 18:20,Tablet,Organic,499,9,0,0,0
S000008,3111,2024-03-05 19:43,Desktop,Direct,13,1,1,0,0
S000009,3228,2024-01-04 05:22,Mobile,Paid,135,3,0,0,0
S000010,1103,2024-01-04 01:51,Mobile,Organic,18,1,1,0,0
S000011,4990,2024-04-15 14:02,Mobile,Organic,212,4,0,0,0
S000012,2356,2024-06-03 05:04,Mobile,Paid,166,2,0,0,
S000013,7147,2024-06-14 10:32,Mobile,Email,3,1,1,0,0
S000014,8358,2024-03-20 04:15,Tablet,Email,259,3,0,0,0
S000015,5563,2024-03-03 20:58,Desktop,Direct,187,2,0,0,0
S000016,4894,2024-01-14 18:48,Mobile,Paid,3,1,1,0,0
S000017,3582,2024-06-23 08:40,Desktop,Email,459,13,0,0,0
S000018,7489,2024-03-14 10:12,Mobile,Direct,,3,0,0,0
S000019,7007,2024-03-22 04:37,Tablet,Direct,233,4,0,0,0
S000020,4495,2024-04-19 10:11,Tablet,Organic,167,4,0,0,0
S000021,4534,2024-03-01 09:12,Desktop,Email,359,10,0,0,0
S000022,4283,2024-01-17 16:42,Desktop,Direct,198,6,0,0,0
S000023,9754,2024-04-07 11:27,Mobile,Social,191,5,0,0,0
S000024,5241,2024-02-26 21:44,Mobile,Direct,162,3,0,0,
S000025,7187,2024-01-24 15:04,Tablet,Organic,266,11,0,0,0
S000026,9565,2024-04-03 22:46,Tablet,Direct,206,3,0,0,0
S000027,4856,2024-06-14 14:01,Desktop,Paid,215,4,0,0,0
S000028,6992,2024-06-18 11:19,Mobile,Social,117,2,0,0,0
S000029,8808,2024-04-23 01:33,Mobile,Direct,348,7,0,0,0
S000030,1728,2024-03-11 04:33,Tablet,Organic,348,10,0,0,0
S000031,6763,2024-03-29 05:10,Mobile,Referral,166,2,0,0,0
S000032,2083,2024-06-14 12:45,Desktop,Social,542,11,0,0,0
S000033,9359,2024-04-15 07:24,Desktop,Social,260,3,0,0,0
S000034,7086,2024-05-21 20:15,Desktop,Paid,357,8,0,0,0
S000035,7561,2024-05-28 11:41,Desktop,Organic,677,15,0,0,0
S000036,9968,2024-01-24 14:54,Desktop,Referral,93,2,0,0,0
S000037,6060,2024-06-22 00:01,Mobile,Organic,312,5,0,0,0
S000038,5447,2024-01-30 16:30,Mobile,Social,192,3,0,0,0
S000039,7825,2024-03-30 05:48,Mobile,Social,233,9,0,0,0
S000040,4832,2024-05-29 03:40,Mobile,Paid,113,2,0,0,0
S000041,7636,2024-02-25 11:55,Tablet,Email,72,1,1,0,0
S000042,3192,2024-06-01 05:45,Desktop,Social,117,3,0,0,0
S000043,1356,2024-01-13 08:51,Desktop,Direct,60,1,1,0,0
S000044,8138,2024-04-11 22:44,Mobile,Organic,190,3,0,0,0
S000045,2662,2024-05-26 14:11,Mobile,Social,17,1,1,0,0
S000046,5386,2024-04-28 09:35,Desktop,Organic,69,1,1,0,0
S000047,7460,2024-04-20 13:11,Desktop,Organic,3,1,1,0,0
S000048,4064,2024-04-07 03:07,Tablet,Organic,44,1,1,0,0
S000049,5482,2024-06-13 20:45,Desktop,Referral,209,7,0,0,0
