median_income,house_age,avg_rooms,avg_bedrooms,population,avg_occupancy,latitude,longitude,median_house_value
4.8251,37,4.911,0.801,1195,2.839,33.13,-117.63,212991.6
1.9123,22,4.752,1.026,2991,2.234,35.29,-120.82,89771.5
5.7548,32,3.473,0.745,1824,4.211,33.57,-118.15,342733.2
1.726,24,5.093,1.031,1901,2.775,36.57,-120.0,105429.7
4.6592,21,5.471,1.13,1985,2.787,33.62,-117.83,354979.6
5.3909,26,6.881,1.422,2462,,33.96,-117.65,375056.1
6.4058,26,4.845,1.038,681,4.936,37.24,-122.14,335372.8
0.5,32,7.034,2.155,2295,3.212,34.96,-117.9,95747.5
2.2635,30,2.651,0.591,2185,3.549,38.38,-121.11,264352.3
1.8428,48,6.875,1.223,470,3.423,35.79,-119.2,43658.5
0.5,28,6.923,1.935,426,5.871,39.95,-121.49,87923.8
2.829,38,7.166,1.482,3532,1.557,32.77,-117.68,233434.3
4.0083,29,6.12,1.242,1286,3.237,36.56,-120.66,139076.7
6.4309,52,5.396,1.031,998,2.677,37.92,-121.22,379635.4
4.9287,15,3.513,0.696,1516,5.546,36.77,-121.88,333779.2
5.7639,22,7.307,1.224,1211,1.705,34.7,-118.95,242394.1
2.7906,39,4.377,0.61,647,3.496,36.56,-119.91,126677.8
1.3645,31,4.531,0.569,2609,3.559,34.57,-118.99,97970.3
0.5,52,3.648,0.656,2211,2.448,35.26,-117.67,71852.8
2.6361,36,2.55,0.5,3,3.237,34.07,-118.65,145917.0
5.4204,27,5.476,0.836,2502,5.049,34.14,-118.02,405608.7
6.9433,34,5.186,1.017,3,4.015,38.14,-121.72,381758.7
5.8316,37,1.104,0.5,1715,3.687,33.77,-117.23,202555.1
5.5488,34,2.918,0.5,652,3.089,37.19,-121.37,307723.2
4.2633,23,6.828,1.383,3348,4.069,37.86,-121.14,321663.9
4.5077,30,4.392,1.331,3095,3.844,39.7,-122.4,264276.5
4.0619,37,7.638,1.568,3,1,38.92,-121.04,220861.5
0.9403,22,4.248,0.984,794,4.636,36.44,-120.29,36608.8
5.4106,21,5.952,1.026,3,3.91,38.98,-121.8,302595.8
3.8602,43,7.428,1.55,967,1,33.32,-117.43,244135.0
0.9519,39,6.951,0.986,2834,2.479,38.69,-121.79,64205.0
8.5688,31,5.508,0.885,3,1.934,33.57,-118.06,492449.9
4.982,7,6.646,1.661,2055,3.597,32.53,-117.34,257319.5
2.2329,32,7.872,1.523,1082,3.369,37.3,-122.11,220846.6
3.6419,31,3.12,0.51,2870,3.783,36.56,-120.56,170271.8
4.0555,39,5.141,1.053,1835,4.433,32.86,-117.26,271473.7
7.7109,21,8.363,1.241,1512,6.292,33.31,-117.47,359650.6
5.8518,21,5.927,1.254,2569,3.525,32.94,-117.83,302633.4
5.3556,27,5.092,0.875,1008,6.742,33.61,-118.13,269650.3
5.0552,30,2.499,0.588,641,5.126,36.77,-120.72,84120.7
