loan_id,age,income,employment_years,loan_amount,interest_rate,loan_term_months,credit_score,dti_ratio,num_credit_lines,delinquencies_2yr,home_ownership,loan_purpose,defaulted
1,47,21227.98,0,11227.54,16.3,36,581,0.1452,10,0,RENT,major_purchase,0
2,41,,14,14692.8,7.7,60,702,0.2349,7,0,OWN,debt_consolidation,0
3,50,43005.22,19,35288.01,10.28,60,766,0.17,11,0,RENT,major_purchase,0
4,28,59778.28,3,17821.89,7.93,60,554,0.1805,2,0,OWN,medical,0
5,59,67298.93,11,1000,17.33,36,701,0.2379,5,0,OWN,small_business,0
6,60,45980.06,3,13523.52,8.85,60,713,0.2201,11,0,RENT,major_purchase,0
7,63,44792.81,6,11739.54,15.48,36,650,0.1291,0,0,OWN,major_purchase,0
8,44,40198.15,0,15507.2,9.22,60,678,0.01,13,0,OWN,home_improvement,0
9,36,57742.56,4,11728.61,6.12,36,821,0.2504,6,0,OWN,credit_card,0
10,41,66093.56,10,15784.17,14.15,36,689,0.3658,11,0,OWN,debt_consolidation,0
11,52,57923.27,9,11145.77,8.91,60,628,0.1417,13,3,MORTGAGE,medical,0
12,55,39236.58,0,32431.31,12.08,60,690,0.1241,6,2,MORTGAGE,credit_card,0
13,42,27362.0,4,16119.79,21.7,36,760,0.179,3,0,OWN,credit_card,0
14,45,14537.12,0,12660.04,9.17,60,660,0.01,10,0,RENT,home_improvement,0
15,42,79815.43,1,21463.24,17.12,36,643,0.238,2,0,OWN,credit_card,0
16,67,47737.19,10,14416.01,6.94,36,566,0.0617,0,5,MORTGAGE,small_business,1
17,33,67766.48,13,1000,5.36,36,756,0.2441,3,0,OWN,major_purchase,0
18,38,50129.65,5,24152.64,13.29,36,588,0.3008,6,0,OWN,debt_consolidation,0
19,58,99999.36,10,8329.88,13.75,36,658,0.2116,4,5,OWN,small_business,0
20,62,12000,4,15671.61,11.92,60,706,0.2583,8,1,MORTGAGE,credit_card,0
21,34,35541.93,1,8967.06,12.7,60,662,0.01,10,0,OWN,home_improvement,0
22,57,60753.45,9,17375.18,12.26,36,656,0.1976,13,0,RENT,home_improvement,0
23,41,96936.91,9,17321.53,3.5,36,782,0.2468,13,0,OWN,home_improvement,0
24,49,54941.19,0,16373.78,15.3,36,703,0.2161,4,0,MORTGAGE,home_improvement,0
25,27,45264.08,7,21460.69,13.94,60,689,0.0935,0,0,MORTGAGE,credit_card,0
26,25,74516.85,5,1000,9.69,60,764,0.154,6,0,OWN,debt_consolidation,0
27,57,31494.18,5,9201.31,11.21,60,830,0.2421,1,2,OWN,home_improvement,0
