date,ticker,sector,open_price,close_price,daily_return,volume,market_cap_B,pe_ratio,dividend_yield,sp500_return
2024-01-02,AAPL,Technology,170,169.61,-0.002307,4251887,2800,22.83,0.0226,0.014979
2024-01-02,MSFT,Technology,380,380.81,0.00213,5961119,2900,21.26,0.0187,0.014979
2024-01-02,JNJ,Healthcare,155,160.65,0.036472,4586145,380,6.97,0.0134,0.014979
2024-01-02,PFE,Healthcare,28,28.22,0.007907,3928520,160,7.61,0.0095,0.014979
2024-01-02,JPM,Financials,185,188.75,0.020273,3682948,540,20.53,0.0272,0.014979
2024-01-02,BAC,Financials,33,33.62,0.018904,5986071,260,26.58,0.0313,0.014979
2024-01-02,XOM,Energy,105,106.43,0.013635,3826837,450,27.29,0.0226,0.014979
2024-01-02,CVX,Energy,155,156.69,0.010933,4911369,300,27.2,0.0158,0.014979
2024-01-02,PG,Consumer,160,162.04,0.012738,10324141,380,38.97,0.0281,0.014979
2024-01-02,KO,Consumer,60,61.04,0.017388,2775948,260,13.14,0.011,0.014979
2024-01-03,AAPL,Technology,169.61,174.46,0.028597,1351653,2800,26.15,0.0048,0.008666
2024-01-03,MSFT,Technology,380.81,379.83,-0.002567,6923883,2900,9.7,0.0227,0.008666
2024-01-03,JNJ,Healthcare,160.65,166.91,0.038974,6616800,380,18.14,0.0293,0.008666
2024-01-03,PFE,Healthcare,28.22,28.17,-0.001928,2187105,160,17.47,,0.008666
2024-01-03,JPM,Financials,188.75,187.06,-0.008938,8464834,540,17.78,0,0.008666
2024-01-03,BAC,Financials,33.62,33.28,-0.010206,4815494,260,16.44,0.0138,0.008666
2024-01-03,XOM,Energy,106.43,103.84,-0.024321,3724627,450,22.24,0.0034,0.008666
2024-01-03,CVX,Energy,156.69,157.05,0.002266,3325887,300,34.57,0.02,0.008666
2024-01-03,PG,Consumer,162.04,164.39,0.014518,1429911,380,13.44,0.0313,0.008666
2024-01-03,KO,Consumer,61.04,61.15,0.001785,1764187,260,14.31,0.0212,0.008666
2024-01-04,AAPL,Technology,174.46,170.81,-0.020929,9182421,2800,23.41,0.0109,-0.025145
