transaction_id,customer_id,date,hour,day_of_week,amount,category,merchant_type,is_international,is_fraud
1,1092,2024-01-11,19,3,847.19,Travel,Online,0,0
2,1254,2024-03-29,16,4,32.51,Dining,Online,0,0
3,1267,2024-05-30,11,3,675.94,Travel,POS,0,0
4,1121,2024-01-05,20,4,236.98,Healthcare,POS,0,0
5,1641,2024-06-11,22,1,22.72,Retail,Online,0,0
6,1755,2024-01-12,16,4,42.33,Dining,Online,0,0
7,1270,2024-03-13,13,2,55.69,Groceries,Online,0,0
8,1826,2024-01-09,21,1,54.0,Dining,ATM,0,0
9,1597,2024-01-15,11,0,156.85,Healthcare,Online,0,0
10,1656,2024-03-02,20,5,90.49,Retail,Online,1,0
11,1031,2024-05-22,19,2,131.46,Groceries,Online,0,0
12,1225,2024-03-13,14,2,73.39,Healthcare,Online,0,0
13,1788,2024-02-01,11,3,125.14,Electronics,POS,0,0
14,2000,2024-01-29,6,0,1,Entertainment,Online,0,0
15,1491,2024-06-27,17,3,85.2,Travel,Online,0,0
16,1389,2024-05-31,13,4,13.73,Groceries,Online,0,0
17,1478,2024-04-03,21,2,32.0,Entertainment,ATM,0,0
18,1176,2024-06-03,10,0,28.34,Electronics,POS,0,0
19,1557,2024-05-25,9,5,81.68,Retail,Online,0,0
20,1004,2024-04-07,8,6,26.04,Entertainment,POS,0,0
21,1510,2024-04-18,22,3,,Electronics,POS,0,0
22,1517,2024-04-09,13,1,31.2,Entertainment,Online,1,0
23,1280,2024-03-28,21,3,52.52,Entertainment,Online,0,0
24,1226,2024-04-01,5,0,28.21,Dining,POS,0,0
25,1692,2024-02-23,7,4,33.98,Dining,Online,0,0
26,1928,2024-06-17,6,0,305.73,Electronics,ATM,0,0
27,1612,2024-06-18,12,1,70.27,Utilities,POS,0,0
28,1234,2024-01-20,11,5,51.27,Utilities,ATM,0,0
29,1464,2024-03-17,8,6,34.99,Retail,POS,0,0
30,1515,2024-01-22,15,0,52.66,Groceries,Online,1,0
31,1156,2024-05-05,15,6,65.48,Utilities,POS,1,0
32,1087,2024-05-27,6,0,55.13,Groceries,POS,0,0
33,1884,2024-05-06,17,0,57.89,Dining,Online,0,0
34,1798,2024-06-01,17,5,85.28,Utilities,POS,1,0
35,1525,2024-02-29,10,3,71.99,Retail,POS,0,0
36,1061,2024-01-14,23,6,66.91,Dining,POS,0,0
37,1446,2024-01-28,13,6,51.51,Retail,POS,0,0
38,1680,2024-01-10,13,2,1,Electronics,POS,0,0
39,1621,2024-01-28,11,6,72.47,Retail,Online,1,0
40,1462,2024-04-10,17,2,21.92,Utilities,POS,0,0
41,1198,2024-03-29,14,4,78.59,Groceries,POS,0,0
42,1123,2024-04-20,13,5,76.89,Entertainment,Online,0,0
43,1067,2024-03-09,8,5,161.92,Healthcare,ATM,0,0
44,1321,2024-02-06,21,1,42.71,Groceries,Online,0,0
45,1090,2024-02-09,15,4,53.74,Electronics,POS,0,0
46,1509,2024-05-01,8,2,71.93,Entertainment,POS,0,0
47,1054,2024-01-31,14,2,463.08,Travel,POS,0,0
48,1251,2024-02-22,10,3,248.06,Electronics,Online,0,0
49,1760,2024-04-21,7,6,44.21,Dining,POS,0,0
50,1298,2024-04-22,19,0,1,Retail,ATM,0,0
51,1069,2024-04-17,10,2,94.23,Entertainment,Online,1,0
52,1919,2024-03-04,17,0,248.15,Travel,Online,0,0
53,1439,2024-03-08,8,4,108.93,Utilities,ATM,0,0
