experiment_id,temperature_C,concentration_mM,catalyst,ph_level,replicate,yield_percent,reaction_time_min,purity_percent,byproduct_mg
1,20,0.1,None,6.8,1,15.2,50.4,83.9,7.37
2,20,0.1,None,7.1,2,15.8,54.2,90.4,11.91
3,20,0.1,None,7.1,3,11.4,57.7,88.2,10.2
4,20,0.1,Platinum,7.3,1,34.9,71.3,93.6,3.66
5,20,0.1,Platinum,8.2,2,41.6,45.0,90.7,0
6,20,0.1,Platinum,7.6,3,42.0,53.2,83.6,6.56
7,20,0.1,Palladium,7.2,1,29.7,49.5,86.2,14.6
8,20,0.1,Palladium,7.0,2,28.6,62.8,88.8,0.35
9,20,0.1,Palladium,8.1,3,36.7,42.2,89.2,4.33
10,20,0.1,Nickel,5.9,1,16.6,59.2,87.5,4.2
11,20,0.1,Nickel,8.4,2,13.5,54.2,83.9,5.21
12,20,0.1,Nickel,6.9,3,26.0,63.8,88.1,6.27
13,20,0.5,None,7.2,1,26.8,62.9,83.8,1.5
14,20,0.5,None,7.2,2,13.1,71.8,91.1,8.35
15,20,0.5,None,6.5,3,30.2,52.0,80.2,6.27
16,20,0.5,Platinum,7.5,1,49.6,52.2,92.6,10.21
17,20,0.5,Platinum,5.7,2,47.6,82.0,93.3,3.97
18,20,0.5,Platinum,7.8,3,39.7,64.9,94.9,3.09
19,20,0.5,Palladium,6.7,1,35.5,56.4,88.2,1.77
20,20,0.5,Palladium,7.5,2,35.2,62.1,90.0,11.49
21,20,0.5,Palladium,7.5,3,43.8,70.2,92.3,5.14
22,20,0.5,Nickel,7.0,1,38.0,53.4,85.9,6.97
23,20,0.5,Nickel,7.7,2,31.6,42.0,92.3,9.23
24,20,0.5,Nickel,7.4,3,31.8,65.1,86.5,5.08
25,20,1.0,None,7.7,1,27.4,80.2,84.0,11.04
26,20,1.0,None,8.2,2,28.1,78.8,79.8,9.43
27,20,1.0,None,5.9,3,28.0,59.4,86.7,7.2
28,20,1.0,Platinum,7.0,1,49.4,72.2,97.2,3.31
29,20,1.0,Platinum,6.8,2,51.1,68.9,98.0,5.23
30,20,1.0,Platinum,6.3,3,57.8,54.9,100,7.17
31,20,1.0,Palladium,6.1,1,52.5,61.0,93.0,5.45
32,20,1.0,Palladium,6.3,2,39.9,70.1,93.1,7.96
33,20,1.0,Palladium,7.3,3,42.1,66.5,93.5,6.94
34,20,1.0,Nickel,7.5,1,33.0,69.6,88.1,5.87
35,20,1.0,Nickel,7.9,2,42.9,68.8,90.5,6.54
36,20,1.0,Nickel,6.9,3,30.8,64.6,94.3,7.98
37,20,2.0,None,8.0,1,31.6,72.7,90.9,11.05
38,20,2.0,None,7.1,2,32.5,98.2,90.9,7.25
39,20,2.0,None,7.1,3,32.6,78.0,77.2,5.45
40,20,2.0,Platinum,6.8,1,58.5,60.5,96.8,4.1
41,20,2.0,Platinum,6.9,2,54.7,60.5,91.2,2.97
42,20,2.0,Platinum,7.1,3,63.9,88.6,91.6,4.55
43,20,2.0,Palladium,7.3,1,56.8,89.7,91.1,3.77
44,20,2.0,Palladium,7.1,2,51.7,80.5,92.8,1.5
45,20,2.0,Palladium,6.8,3,53.6,73.4,88.4,8.83
46,20,2.0,Nickel,7.4,1,40.8,74.4,89.2,6.42
47,20,2.0,Nickel,6.7,2,35.6,68.9,91.1,12.67
48,20,2.0,Nickel,7.6,3,39.8,69.6,95.2,8.5
49,20,5.0,None,6.6,1,40.1,102.3,91.5,12.54
50,20,5.0,None,7.0,2,45.9,101.4,85.3,10.12
51,20,5.0,None,7.3,3,37.4,101.9,81.8,12.96
52,20,5.0,Platinum,6.3,1,62.8,93.9,98.1,4.44
53,20,5.0,Platinum,6.6,2,61.2,93.2,93.0,3.23
54,20,5.0,Platinum,6.8,3,67.4,111.4,84.1,14.52
55,20,5.0,Palladium,7.1,1,60.2,92.4,87.9,8.92
56,20,5.0,Palladium,7.4,2,64.7,98.9,94.4,15.13
57,20,5.0,Palladium,6.4,3,54.4,103.2,87.9,7.17
58,20,5.0,Nickel,6.5,1,44.0,117.3,86.1,6.14
