date,station,latitude,longitude,temp_celsius,precipitation_mm,humidity_percent,wind_speed_kmh,pressure_hpa,cloud_cover_pct
2020-01-01,STN_NORTH,48.0,-122.3,-6.2,6.5,52.4,12.2,1013.1,100
2020-01-01,STN_CENTRAL,37.8,-122.4,5.3,,83.8,26.7,1005.6,100
2020-01-01,STN_SOUTH,34.0,-118.2,7.8,0,46.6,4.8,1010.5,68.0
2020-01-01,STN_INLAND,36.7,-119.8,3.4,0.3,64.9,0,1017.2,58.0
2020-01-01,STN_COASTAL,32.7,-117.2,6.5,0,60.1,0,1009.7,56.0
2020-01-02,STN_NORTH,48.0,-122.3,-2.9,6.5,71.8,10.0,1002.4,60.0
2020-01-02,STN_CENTRAL,37.8,-122.4,-3.1,3.1,74.5,17.1,1007.4,74.0
2020-01-02,STN_SOUTH,34.0,-118.2,9.2,,81.2,27.1,1017.7,8.0
2020-01-02,STN_INLAND,36.7,-119.8,7.0,2.2,65.0,15.6,1002.3,54.0
2020-01-02,STN_COASTAL,32.7,-117.2,8.8,0,53.9,10.3,1017.9,29.0
2020-01-03,STN_NORTH,48.0,-122.3,-2.9,4.6,66.1,11.7,1011.8,55.0
2020-01-03,STN_CENTRAL,37.8,-122.4,10.1,4.5,71.8,6.0,1007.8,84.0
2020-01-03,STN_SOUTH,34.0,-118.2,8.7,0,60.1,12.3,1014.5,45.0
2020-01-03,STN_INLAND,36.7,-119.8,5.8,0,70.8,13.5,1012.1,54.0
2020-01-03,STN_COASTAL,32.7,-117.2,1.3,0.3,41.6,5.8,1024.2,78.0
2020-01-04,STN_NORTH,48.0,-122.3,-3.1,6.5,65.2,20.4,1006.3,59.0
2020-01-04,STN_CENTRAL,37.8,-122.4,2.3,2.7,68.7,6.0,1012.3,28.0
2020-01-04,STN_SOUTH,34.0,-118.2,5.5,0,63.4,2.1,1017.3,50.0
2020-01-04,STN_INLAND,36.7,-119.8,10.6,0,58.6,13.9,1017.6,65.0
2020-01-04,STN_COASTAL,32.7,-117.2,14.3,0.7,76.2,8.1,1015.7,64.0
2020-01-05,STN_NORTH,48.0,-122.3,6.8,6.5,72.8,5.8,1012.1,18.0
2020-01-05,STN_CENTRAL,37.8,-122.4,4.7,2.0,85.2,17.2,1020.3,68.0
2020-01-05,STN_SOUTH,34.0,-118.2,5.6,1.7,68.7,18.2,1007.4,62.0
2020-01-05,STN_INLAND,36.7,-119.8,5.6,3.9,55.2,1.8,1008.6,95.0
2020-01-05,STN_COASTAL,32.7,-117.2,10.8,2.0,74.0,22.0,1019.1,100
2020-01-06,STN_NORTH,48.0,-122.3,-2.3,4.6,72.4,20.3,1003.1,33.0
2020-01-06,STN_CENTRAL,37.8,-122.4,5.5,0,64.9,14.1,1016.0,45.0
2020-01-06,STN_SOUTH,34.0,-118.2,12.1,0,77.8,11.1,1017.0,35.0
2020-01-06,STN_INLAND,36.7,-119.8,-1.5,0,58.2,19.8,1013.3,26.0
2020-01-06,STN_COASTAL,32.7,-117.2,8.7,0.6,88.6,13.7,1013.3,79.0
2020-01-07,STN_NORTH,48.0,-122.3,-5.9,0,67.9,8.4,1021.4,62.0
2020-01-07,STN_CENTRAL,37.8,-122.4,4.1,1.3,79.2,13.7,1004.4,54.0
2020-01-07,STN_SOUTH,34.0,-118.2,8.8,0,76.5,10.6,1011.5,23.0
2020-01-07,STN_INLAND,36.7,-119.8,6.3,0,91.5,7.2,1012.5,25.0
2020-01-07,STN_COASTAL,32.7,-117.2,8.3,1.0,100,12.7,1002.1,84.0
2020-01-08,STN_NORTH,48.0,-122.3,-2.0,6.2,80.2,3.0,1012.9,38.0
2020-01-08,STN_CENTRAL,37.8,-122.4,4.6,0,69.8,25.2,1013.2,56.0
2020-01-08,STN_SOUTH,34.0,-118.2,9.3,4.2,64.0,8.3,1018.2,26.0
2020-01-08,STN_INLAND,36.7,-119.8,8.1,2.1,59.9,7.5,1012.6,55.0
2020-01-08,STN_COASTAL,32.7,-117.2,12.0,2.9,81.0,15.2,1000.9,75.0
2020-01-09,STN_NORTH,48.0,-122.3,0.0,4.8,89.1,19.3,1011.3,58.0
2020-01-09,STN_CENTRAL,37.8,-122.4,7.3,0.9,72.9,0.6,1009.0,75.0
2020-01-09,STN_SOUTH,34.0,-118.2,5.5,,66.5,10.6,1008.1,57.0
2020-01-09,STN_INLAND,36.7,-119.8,3.0,0,85.2,2.6,1007.8,73.0
2020-01-09,STN_COASTAL,32.7,-117.2,15.8,0,55.2,16.4,1010.7,30.0
2020-01-10,STN_NORTH,48.0,-122.3,5.5,0,75.5,16.1,1021.4,86.0
2020-01-10,STN_CENTRAL,37.8,-122.4,11.3,2.5,61.6,5.7,1002.6,45.0
2020-01-10,STN_SOUTH,34.0,-118.2,8.2,0,79.9,11.0,1015.8,78.0
