alcohol,malic_acid,ash,alcalinity_of_ash,magnesium,total_phenols,flavanoids,nonflavanoid_phenols,proanthocyanins,color_intensity,hue,od280_od315,proline,cultivar
12.81,1.74,1.68,17.92,83.87,2.05,1.39,0.65,1.16,2.89,1.1,3.14,424,ClassB
13.09,1.67,2.16,23.05,103.28,1.96,0.89,0.44,0.79,10.61,0.6,2.11,842,ClassC
13.14,1.71,2.41,15.56,125.75,2.41,2.76,0.17,1.72,6.9,1.09,2.63,1003,ClassA
11.95,0.81,2.85,23.62,115.96,2.5,1.99,0.36,1.38,2.79,0.91,3.26,523,ClassB
13.14,1.76,2.11,23.14,119.78,3.25,3.3,0.54,2.65,3.25,1.06,2.22,845,ClassB
14.12,,2.57,14.72,101.35,3.54,3.22,0.29,2.23,6.68,1.07,2.89,724,ClassA
11.69,1.96,1.94,23.24,102.82,2.42,2.95,0.53,1.56,2.24,1.31,2.83,326,ClassB
13.09,3.08,2.84,24.07,113.43,1.88,1.2,0.56,1.27,7.59,0.59,1.59,296,ClassC
12.83,5.88,2.52,25.02,89.67,1.47,0.41,0.49,1.26,5.75,0.68,1.35,584,ClassC
12.82,2.34,2.19,20.64,107.72,1.96,2.44,0.35,1.66,2.58,1.23,2.46,517,ClassB
14.06,1.74,2.55,16.88,97.27,2.17,3.44,0.36,1.86,4.6,1.17,3.13,1140,ClassA
13.5,2.02,2.81,19.9,105.24,1.24,1.07,0.49,1.56,9.52,0.65,1.84,629,ClassC
13.27,1.99,2.45,19.61,111.86,2.53,1.39,0.33,1.15,1.96,0.98,2.85,383,ClassB
12.83,2.72,2.38,22.8,100.32,1.4,1.08,0.46,0.47,8.57,0.67,1.69,492,ClassC
12.79,2.72,2.38,13.46,88.83,2.7,2.65,0.29,1.36,6.94,0.97,2.21,975,ClassA
12.6,2.25,2.22,19.09,87.76,2.63,1.01,0.23,2.98,2.66,1.12,2.2,650,ClassB
12.96,2.15,2.94,15.6,101.12,3.03,2.9,0.2,,3.99,1.07,3.1,942,ClassA
13.6,2.7,2.29,21.51,91.46,2.18,1.07,0.34,1.11,7.8,0.78,1.71,599,ClassC
13.81,2.49,1.99,20.78,98.1,1.93,0.81,0.5,0.75,7.3,0.66,1.93,624,ClassC
