sample_id,group,batch,GENE_000,GENE_001,GENE_002,GENE_003,GENE_004,GENE_005,GENE_006,GENE_007,GENE_008,GENE_009,GENE_010,GENE_011,GENE_012,GENE_013,GENE_014,GENE_015,GENE_016,GENE_017,GENE_018,GENE_019,GENE_020,GENE_021,GENE_022,GENE_023,GENE_024,GENE_025,GENE_026,GENE_027,GENE_028,GENE_029,GENE_030,GENE_031,GENE_032,GENE_033,GENE_034,GENE_035,GENE_036,GENE_037,GENE_038,GENE_039,GENE_040,GENE_041,GENE_042,GENE_043,GENE_044,GENE_045,GENE_046,GENE_047,GENE_048,GENE_049
S0001,Treatment,Batch1,23.96,184.73,17.52,36.52,42.26,58.25,17.54,59.83,12.37,7.93,207.09,127.63,4.43,16.92,9.22,19.5,23.82,13.19,85.48,7.42,5.19,24.04,71.68,1.2,37.88,21.36,44.43,59.26,11.99,50.12,23.19,18.74,11.22,8.07,90.75,9.45,16.7,35.65,4.99,11.77,9.01,24.2,12.22,12.18,5.97,14.99,19.29,24.59,8.64,13.28
S0002,Treatment,Batch1,57.18,45.8,7.66,14.87,46.28,40.9,151.3,39.05,14.1,18.74,22.33,9.05,15.4,10.86,20.88,27.4,19.49,70.12,3.19,23.6,20.55,20.58,7.07,9.93,95.48,43.53,32.45,50.41,5.13,61.29,5.11,6.34,14.28,50.08,6.99,46.15,103.29,59.49,27.87,5.9,11.24,7.58,15.25,16.09,10.8,97.95,95.96,26.86,20.93,41.03
S0003,Control,Batch1,22.43,1.88,15.06,21.08,46.94,46.99,5.0,5.41,8.21,20.2,1.71,40.39,9.62,5.31,8.39,51.57,8.46,9.41,7.7,22.48,27.48,12.8,42.8,60.14,39.96,29.92,15.84,12.31,84.01,14.53,18.4,169.48,16.81,25.72,16.73,60.32,9.66,19.82,46.66,3.87,39.69,5.36,24.27,90.91,12.41,67.56,116.26,16.51,65.5,21.62
S0004,Control,Batch3,28.27,10.43,8.22,18.17,41.01,5.84,7.13,39.55,36.84,24.76,8.39,37.54,26.51,4.14,5.54,43.48,11.43,68.23,117.12,7.73,143.0,11.64,20.25,49.94,94.85,23.14,27.63,9.2,63.84,51.13,51.83,4.84,44.18,41.2,69.35,2.15,45.38,9.2,20.87,17.58,5.88,39.62,199.54,99.05,59.96,43.72,21.92,11.82,14.56,25.42
S0005,Treatment,Batch2,14.98,13.44,7.67,15.33,63.67,196.48,13.85,8.41,45.37,41.42,78.45,15.94,58.63,44.33,37.84,28.26,69.24,9.77,84.14,18.91,21.71,19.29,8.5,28.46,4.48,11.18,7.9,28.21,39.38,7.66,207.95,4.84,21.82,11.36,35.22,29.91,15.78,4.51,13.53,,13.96,17.55,1.8,25.07,53.52,7.29,9.9,23.39,8.8,38.35
S0006,Control,Batch2,55.36,23.78,28.8,43.63,24.11,5.72,28.91,6.47,13.35,41.33,64.63,56.56,22.1,15.93,18.65,25.98,63.86,34.27,44.39,32.39,30.16,11.57,48.66,14.11,23.99,14.45,2.44,18.41,34.6,5.16,41.91,101.12,26.46,,113.12,13.94,7.35,8.87,31.58,3.22,34.71,43.27,2.45,7.0,48.24,42.46,4.58,13.33,31.7,20.57
S0007,Control,Batch1,9.47,6.38,34.25,12.46,22.24,32.98,44.58,4.48,52.55,66.31,13.69,50.38,9.49,27.4,26.64,36.28,3.8,22.23,8.49,6.27,3.7,18.94,4.85,38.12,15.09,20.31,20.23,5.57,43.39,7.27,9.02,22.56,24.18,4.59,41.48,28.23,24.64,4.86,11.91,25.32,21.8,10.22,16.28,25.85,3.04,10.52,10.19,4.31,56.34,2.43
S0008,Treatment,Batch1,19.66,60.13,65.98,65.34,54.26,35.46,24.72,76.29,236.97,13.84,9.42,11.37,17.85,71.52,30.56,235.06,19.85,19.34,79.59,6.06,66.19,17.23,7.8,11.83,14.53,24.0,4.41,49.54,20.29,7.36,24.4,4.12,46.78,11.01,8.58,21.07,17.36,23.57,86.5,15.58,32.96,10.38,6.58,33.37,4.36,13.84,18.32,22.14,45.78,20.65
S0009,Treatment,Batch1,22.77,17.76,45.78,114.17,252.97,11.16,140.0,29.94,53.35,6.78,15.04,9.5,23.71,7.72,24.01,36.25,8.25,25.99,213.43,8.6,77.24,13.44,26.99,42.39,100.17,12.18,28.21,32.82,21.52,6.6,3.26,3.21,70.74,10.94,18.62,4.42,48.31,319.91,19.95,23.14,8.79,27.47,36.86,37.31,8.13,21.36,8.35,34.03,43.46,12.73
S0010,Control,Batch3,17.33,35.51,12.79,31.52,8.87,3.9,20.89,16.14,52.31,36.91,268.23,46.71,10.84,10.1,3.0,32.86,13.28,22.54,34.1,10.81,11.65,16.19,35.43,26.43,15.45,16.95,46.87,22.54,11.84,3.41,29.89,21.37,3.62,69.26,40.2,28.06,10.26,21.37,68.86,26.58,33.85,26.41,113.06,1.63,73.21,8.76,20.56,9.42,2.81,72.55
