order_id,customer_id,order_date,category,unit_price,quantity,total_amount,channel,returned,rating
10001,251,2023-06-21,Electronics,451.1,1,451.1,Web,0,5
10002,102,2023-06-22,Clothing,35.54,2,71.08,App,0,5
10003,235,2023-08-05,Clothing,50.12,3,150.36,Web,0,4
10004,243,2023-07-19,Home,22.29,1,22.29,Web,0,5
10005,261,2023-08-03,Clothing,16.58,1,16.58,App,0,5
10006,166,2023-07-12,Electronics,27.92,1,27.92,App,0,4
10007,203,2023-10-24,Food,82.01,3,246.03,Web,0,5
10008,286,2023-10-18,Clothing,51.35,1,51.35,Web,0,3
10009,173,2023-11-09,Electronics,637.48,3,1912.44,Mobile,0,4
10010,120,2023-05-18,Electronics,197.95,2,395.9,Web,0,5
10011,126,2023-03-08,Home,17.68,2,35.36,Web,0,4
10012,233,2023-02-19,Electronics,247.57,2,495.14,Web,0,3
10013,250,2023-09-26,Clothing,67.78,2,135.56,Web,0,5
10014,263,2023-03-02,Electronics,93.19,1,93.19,Web,0,4
10015,138,2023-12-12,Electronics,302.53,3,907.59,Mobile,0,4
10016,238,2023-06-21,Food,15.33,2,30.66,App,0,4
10017,248,2023-11-28,Books,31.87,3,95.61,Mobile,0,3
10018,299,2023-03-07,Food,42.34,2,84.68,App,0,4
10019,260,2023-01-26,Sports,22.33,2,44.66,Web,0,3
10020,253,2023-11-16,Food,21.81,1,21.81,App,0,4
10021,231,2023-12-09,Electronics,378.98,1,378.98,Web,0,4
10022,158,2023-08-24,Food,6.32,2,12.64,App,0,4
10023,296,2023-09-13,Electronics,230.3,1,230.3,Web,0,3
10024,160,2023-09-18,Clothing,57.05,2,114.1,App,0,5
10025,133,2023-05-21,Clothing,20.11,3,60.33,App,0,4
10026,219,2023-09-01,Books,7.48,1,7.48,Web,0,3
10027,115,2023-05-04,Electronics,29.92,1,29.92,App,0,4
10028,225,2023-09-05,Home,12.24,3,36.72,Mobile,0,3
10029,179,2023-01-17,Food,21.39,1,21.39,Mobile,0,3
10030,136,2023-03-12,Books,28.24,2,56.48,App,0,5
10031,157,2023-12-09,Clothing,12.59,3,37.77,Web,0,5
10032,256,2023-04-03,Food,6.5,2,13.0,Web,0,5
10033,286,2023-06-18,Books,12.47,2,24.94,Web,0,5
10034,279,2023-02-14,Clothing,15.83,1,15.83,App,0,3
10035,197,2023-08-07,Books,100.36,1,100.36,App,0,4
10036,240,2023-08-13,Electronics,24.46,2,48.92,Mobile,0,3
10037,134,2023-03-02,Books,14.13,3,42.39,Web,0,4
10038,116,2023-12-05,Clothing,91.6,1,91.6,Web,0,3
10039,150,2023-11-28,Clothing,30.1,2,60.2,App,0,5
10040,261,2023-07-09,Electronics,202.94,1,202.94,App,0,4
10041,109,2023-09-14,Clothing,32.86,2,65.72,App,0,3
10042,174,2023-10-23,Books,24.18,1,24.18,Web,0,5
10043,153,2023-11-10,Home,34.16,1,34.16,Mobile,0,5
10044,116,2023-12-21,Sports,11.48,1,11.48,App,1,3
10045,173,2023-05-26,Home,26.23,2,52.46,App,0,4
10046,104,2023-09-08,Food,17.46,3,52.38,Mobile,0,5
10047,212,2023-06-27,Sports,15.31,2,30.62,App,0,5
10048,237,2023-09-12,Electronics,124.56,1,124.56,Mobile,0,5
10049,118,2023-08-03,Clothing,16.84,2,33.68,Mobile,0,5
10050,278,2023-10-26,Sports,79.4,1,79.4,Web,0,4
10051,223,2023-06-27,Clothing,21.47,1,21.47,Mobile,0,5
10052,260,2023-07-03,Clothing,55.77,1,55.77,Web,0,3
10053,239,2023-07-05,Books,31.66,1,31.66,Mobile,0,4
10054,200,2023-09-12,Electronics,187.48,3,562.44,Mobile,0,5
10055,180,2023-07-01,Clothing,11.22,1,11.22,App,0,5
10056,277,2023-05-21,Electronics,138.69,2,277.38,Mobile,0,5
10057,107,2023-03-10,Clothing,23.23,3,69.69,App,0,4
10058,298,2023-11-16,Food,14.05,2,28.1,Web,0,5
10059,285,2023-11-01,Clothing,21.94,2,43.88,App,0,3
10060,170,2023-09-13,Sports,34.28,1,34.28,Web,0,5
10061,156,2023-02-25,Home,18.88,1,18.88,Mobile,0,4
10062,121,2023-02-12,Electronics,124.48,1,124.48,Web,0,4
10063,250,2023-04-18,Food,31.06,1,31.06,Mobile,1,3
10064,282,2023-07-05,Sports,16.96,1,16.96,App,0,4
10065,221,2023-09-05,Books,23.1,1,23.1,App,0,5
10066,197,2023-01-15,Clothing,38.86,1,38.86,Mobile,0,4
10067,275,2023-02-02,Clothing,65.42,2,130.84,Web,0,3
10068,296,2023-02-27,Food,17.72,2,35.44,Mobile,0,5
10069,180,2023-03-04,Food,6.89,2,13.78,Mobile,0,4
10070,247,2023-06-10,Clothing,33.63,2,67.26,App,0,4
10071,281,2023-08-14,Electronics,194.79,2,389.58,Mobile,0,3
10072,108,2023-06-10,Clothing,42.28,2,84.56,Mobile,0,3
10073,139,2023-09-20,Food,9.06,2,18.12,Web,0,3
10074,265,2023-03-02,Electronics,71.9,2,143.8,Mobile,0,5
10075,248,2023-02-03,Clothing,26.65,1,26.65,Web,0,4
10076,225,2023-03-26,Electronics,247.09,1,247.09,Mobile,0,5
10077,150,2023-08-11,Electronics,330.49,1,330.49,Web,0,4
10078,194,2023-01-13,Electronics,128.41,1,128.41,App,0,5
10079,154,2023-02-03,Food,8.52,2,17.04,Web,1,3
10080,233,2023-11-06,Home,18.78,1,18.78,App,0,5
10081,102,2023-09-13,Home,17.81,2,35.62,Web,0,5
10082,222,2023-11-19,Sports,6.78,1,6.78,Mobile,0,4
10083,236,2023-02-10,Sports,13.2,1,13.2,App,0,5
10084,202,2023-10-19,Electronics,114.92,1,114.92,App,0,4
