review_id,product_id,category,rating,sentiment_score,review_length_chars,helpful_votes,verified_purchase,days_since_purchase
1,40,Home,1,0.359,33,1,1,47
2,40,Clothing,3,0.529,15,6,1,108
3,36,Books,4,0.638,14,1,1,18
4,42,Sports,4,0.701,83,2,1,113
5,42,Clothing,4,0.682,52,2,1,8
6,28,Electronics,2,0.33,30,1,1,64
7,13,Home,5,1.0,27,7,1,58
8,49,Clothing,4,0.703,99,2,1,6
9,42,Books,1,0.082,21,4,1,132
10,12,Home,5,1.0,37,1,1,179
11,14,Sports,5,0.98,12,5,1,14
12,33,Electronics,3,0.641,43,2,0,134
13,34,Electronics,4,0.739,131,4,1,30
14,4,Clothing,3,0.603,65,1,0,104
15,48,Home,3,0.517,12,4,1,27
16,28,Home,5,0.976,132,1,1,173
17,1,Home,4,0.919,34,5,1,130
18,21,Electronics,3,0.449,105,2,1,81
19,33,Books,5,0.941,192,2,1,85
20,14,Clothing,1,0.221,11,4,1,36
21,35,Clothing,5,1.0,85,3,1,27
22,50,Home,3,0.617,37,1,1,88
23,32,Electronics,5,1.0,134,3,1,166
24,20,Home,5,1.0,15,4,1,4
25,10,Electronics,3,0.821,33,2,1,167
26,17,Clothing,1,0.36,23,4,1,108
27,34,Clothing,5,0.661,106,1,1,141
28,7,Electronics,5,0.985,62,2,1,27
29,50,Clothing,5,0.919,122,3,1,48
30,6,Home,5,0.964,130,4,1,167
31,15,Clothing,3,0.657,51,3,1,163
32,50,Sports,5,0.932,90,2,1,130
33,28,Electronics,5,1.0,55,1,1,31
34,29,Electronics,1,-0.049,60,4,0,94
35,23,Books,5,0.81,141,4,1,162
36,45,Home,4,0.762,33,4,1,61
37,27,Books,5,1.0,35,3,1,34
38,1,Clothing,5,0.928,326,1,1,56
39,40,Sports,5,1.0,24,0,0,94
40,30,Books,3,0.672,21,3,1,61
41,6,Clothing,4,0.638,24,5,0,31
42,22,Clothing,2,0.343,128,1,1,65
43,28,Books,5,1.0,222,1,1,36
44,19,Books,2,0.189,37,0,0,4
45,48,Books,4,0.802,243,3,1,100
46,36,Clothing,2,0.599,167,1,1,72
47,14,Sports,5,1.0,56,3,1,166
48,4,Electronics,4,0.983,81,3,1,74
49,28,Clothing,2,0.155,171,3,1,175
50,12,Electronics,4,0.511,65,0,1,140
51,46,Sports,2,0.365,32,3,1,111
52,13,Sports,5,1.0,59,2,1,93
53,35,Books,1,0.141,25,6,1,136
54,23,Sports,5,1.0,98,1,1,152
55,12,Home,5,1.0,25,2,1,144
56,17,Clothing,1,0.221,57,2,1,71
57,24,Sports,5,0.885,50,4,1,21
58,39,Clothing,2,0.606,10,2,1,72
59,8,Books,4,0.586,186,7,0,142
60,24,Electronics,5,0.693,94,1,1,175
61,30,Books,2,0.155,19,3,1,103
62,40,Sports,4,0.761,25,0,0,34
63,25,Home,4,0.839,44,1,0,156
64,7,Home,2,0.527,50,6,1,53
65,24,Home,4,1.0,77,4,0,40
66,29,Home,3,0.715,23,1,1,24
67,13,Clothing,4,0.77,77,4,1,83
68,36,Clothing,5,0.996,284,0,1,36
69,35,Electronics,5,0.87,16,6,1,35
70,35,Sports,2,0.434,25,1,1,18
71,16,Sports,5,0.849,49,2,0,18
72,2,Books,5,0.936,38,4,1,83
73,34,Clothing,4,0.568,60,3,1,175
74,9,Sports,2,0.595,17,2,1,52
75,30,Clothing,2,0.495,68,5,1,129
76,31,Electronics,5,0.79,10,4,0,28
77,43,Electronics,4,0.75,113,1,1,71
78,14,Home,4,0.684,11,4,1,112
79,16,Books,4,0.984,43,1,1,89
80,23,Electronics,5,0.878,10,3,1,137
81,12,Home,5,0.656,37,2,1,134
82,45,Sports,5,1.0,163,3,0,90
83,4,Sports,4,0.816,68,2,1,54
84,44,Clothing,2,0.699,20,2,1,90
85,29,Home,5,1.0,24,3,1,118
86,1,Books,4,0.833,77,5,0,151
87,14,Electronics,4,0.499,42,0,1,124
88,26,Books,5,0.957,15,2,0,174
89,49,Home,5,1.0,67,4,0,70
90,47,Sports,5,1.0,22,6,1,169
91,45,Electronics,1,0.413,121,4,1,93
92,18,Sports,4,0.712,152,4,0,75
93,47,Sports,3,0.774,45,2,1,43
94,24,Clothing,4,0.906,39,2,1,60
95,34,Electronics,5,0.64,161,4,0,50
96,19,Books,4,0.847,60,3,1,179
97,17,Home,5,1.0,78,3,1,155
98,41,Home,4,1.0,62,1,0,19
99,2,Electronics,5,1.0,36,3,1,171
100,22,Electronics,1,0.165,166,1,1,169
101,27,Electronics,3,0.724,85,0,1,80
102,46,Home,1,0.219,37,3,1,112
103,3,Home,5,1.0,50,5,0,163
104,10,Sports,3,0.507,200,3,1,78
105,26,Clothing,4,1.0,15,1,1,116
106,21,Clothing,4,0.721,10,5,1,44
107,33,Sports,2,0.425,40,3,0,110
108,21,Books,5,0.991,88,3,1,12
109,24,Electronics,1,0.165,142,2,1,95
110,32,Home,3,0.591,36,4,0,42
111,30,Home,5,1.0,32,4,1,72
112,25,Sports,4,0.91,71,3,1,137
113,13,Clothing,5,1.0,41,2,1,179
114,13,Clothing,4,1.0,96,7,1,61
115,37,Electronics,1,0.358,66,2,1,86
116,43,Clothing,4,0.961,22,2,1,143
117,28,Clothing,3,0.671,88,5,0,29
118,26,Clothing,5,0.958,171,3,1,111
119,35,Sports,2,0.527,64,1,1,134
120,12,Home,4,0.732,74,3,0,31
121,35,Home,1,0.149,37,3,1,38
122,44,Home,5,1.0,65,1,1,93
123,12,Books,5,0.803,151,2,1,113
124,50,Books,5,1.0,59,2,1,141
125,14,Clothing,5,0.96,72,3,1,117
126,2,Clothing,5,0.728,295,5,1,74
127,34,Electronics,3,0.776,70,4,1,179
128,10,Clothing,2,0.457,15,3,1,31
129,27,Books,2,0.195,23,4,1,48
130,28,Sports,5,0.943,17,1,1,9
131,50,Electronics,5,0.912,83,3,1,178
132,19,Home,3,0.832,379,4,1,89
133,19,Sports,4,0.929,10,5,1,20
134,44,Sports,5,0.888,118,8,0,41
135,20,Home,5,0.854,57,3,0,11
136,22,Clothing,4,0.901,53,5,1,133
137,28,Clothing,2,0.405,39,1,0,33
138,26,Electronics,1,0.248,70,1,1,109
139,30,Books,5,0.899,34,9,0,42
140,25,Home,4,1.0,363,2,1,109
141,4,Clothing,1,0.136,36,6,1,178
142,44,Electronics,5,0.94,116,1,0,126
143,19,Electronics,4,0.807,10,2,1,135
144,22,Electronics,4,0.914,66,3,1,98
145,20,Books,5,0.874,28,5,1,44
146,30,Books,5,0.728,123,1,1,152
147,18,Electronics,5,1.0,49,3,1,28
148,5,Books,3,0.665,26,2,1,172
149,3,Clothing,4,0.736,332,2,1,57
150,38,Electronics,4,0.793,21,0,1,151
151,44,Books,3,0.392,35,4,1,105
152,4,Sports,5,0.79,41,6,0,64
153,16,Sports,3,0.538,143,1,1,156
154,1,Electronics,4,0.819,141,7,1,160
155,38,Sports,4,0.902,164,4,1,150
156,33,Home,4,0.862,32,0,1,110
157,21,Electronics,4,0.888,126,2,1,140
158,5,Books,5,0.946,43,3,1,170
159,43,Books,2,0.336,122,2,0,111
160,35,Sports,4,0.661,27,5,1,51
161,25,Books,4,0.683,133,3,1,13
162,17,Electronics,5,0.818,20,2,1,160
163,22,Electronics,4,0.493,56,2,1,49
164,43,Clothing,4,0.873,84,1,1,1
165,19,Books,4,1.0,115,3,1,84
166,4,Home,5,1.0,29,3,0,8
167,33,Clothing,4,1.0,71,8,0,147
168,10,Home,3,0.713,59,1,1,40
169,37,Clothing,5,0.882,275,2,1,66
170,24,Electronics,3,0.398,48,1,1,82
171,5,Clothing,4,0.898,199,2,1,52
172,40,Clothing,4,0.666,27,3,1,31
173,47,Sports,5,0.984,10,6,1,99
174,4,Books,5,1.0,82,1,1,35
175,44,Electronics,4,0.993,38,3,1,15
176,50,Sports,5,0.875,152,6,1,141
177,6,Electronics,5,1.0,51,4,1,3
178,30,Sports,3,0.593,19,5,1,162
179,20,Clothing,4,0.952,132,5,1,40
180,21,Books,3,0.627,45,0,1,69
181,31,Books,3,0.511,212,5,1,25
182,32,Home,4,0.674,47,3,1,31
183,23,Clothing,1,0.134,23,1,1,68
184,48,Electronics,5,0.998,45,4,1,82
185,45,Electronics,5,1.0,63,4,1,177
186,11,Electronics,3,0.7,62,2,0,62
187,41,Home,4,0.908,113,0,1,109
188,8,Sports,5,0.961,51,1,1,15
189,3,Home,4,0.793,74,1,1,165
190,16,Sports,5,1.0,25,3,1,95
191,23,Books,5,1.0,260,3,0,127
192,3,Sports,5,0.956,10,4,1,134
193,1,Books,3,0.986,31,2,0,14
194,15,Books,5,1.0,60,2,1,167
195,13,Sports,5,1.0,65,3,0,64
196,26,Clothing,3,0.244,16,3,1,98
197,36,Electronics,2,0.511,33,2,0,107
198,9,Electronics,4,0.966,126,1,1,94
199,25,Home,3,0.597,150,0,1,79
200,48,Books,5,0.955,11,5,1,103
201,39,Electronics,5,0.994,75,4,0,62
202,45,Books,4,0.804,98,5,1,6
203,3,Electronics,2,0.513,495,5,1,45
204,17,Clothing,1,0.101,237,7,1,174
205,32,Home,1,-0.057,86,3,1,30
206,47,Clothing,5,1.0,46,2,1,16
207,6,Sports,2,0.105,55,1,1,168
208,7,Clothing,1,0.261,37,4,1,44
209,21,Clothing,5,1.0,65,1,0,168
210,17,Clothing,3,0.58,81,3,1,68
211,47,Sports,4,0.903,86,2,1,153
212,42,Electronics,3,0.737,25,2,0,5
213,28,Clothing,5,1.0,55,2,0,13
214,38,Electronics,4,0.832,36,2,1,18
215,47,Books,4,0.913,45,3,1,48
216,4,Electronics,5,0.926,35,1,1,89
217,4,Clothing,5,0.993,27,4,0,79
218,9,Electronics,5,1.0,74,3,1,106
219,31,Electronics,4,0.705,31,1,1,57
220,28,Sports,4,0.808,40,0,1,144
221,40,Electronics,4,0.848,36,2,1,60
222,43,Books,5,0.924,77,2,1,110
223,13,Books,2,0.546,61,6,1,21
224,25,Electronics,3,0.672,32,3,1,72
225,45,Books,1,0.466,49,3,1,4
226,31,Sports,3,0.407,70,3,1,4
227,44,Sports,4,0.912,22,3,1,22
228,1,Home,5,1.0,39,3,1,3
229,10,Electronics,5,1.0,31,1,0,146
230,11,Books,4,1.0,30,3,1,157
231,22,Books,5,0.831,49,6,0,92
232,31,Electronics,5,1.0,164,5,1,163
233,14,Home,4,0.73,16,1,1,134
234,7,Books,5,0.809,40,5,1,105
235,42,Electronics,5,0.91,165,3,1,64
236,6,Clothing,5,1.0,43,6,1,99
237,42,Electronics,3,0.942,54,4,1,103
238,6,Clothing,5,0.63,73,2,1,157
239,30,Clothing,1,0.12,95,0,1,93
240,33,Clothing,4,0.896,43,2,1,122
241,33,Clothing,5,0.557,36,0,1,104
242,50,Home,5,0.726,60,1,1,129
243,34,Home,3,0.797,107,5,1,39
244,36,Clothing,5,1.0,108,0,1,43
245,9,Electronics,2,0.31,10,3,0,47
246,10,Sports,5,0.768,81,3,0,15
247,13,Clothing,5,0.816,53,2,1,87
248,35,Home,5,1.0,29,6,1,5
249,1,Home,2,0.278,39,1,1,164
250,28,Home,1,0.277,50,5,1,64
251,7,Clothing,4,0.843,29,4,1,137
252,5,Home,3,0.613,60,2,1,120
253,41,Clothing,5,1.0,50,1,1,147
254,14,Clothing,5,1.0,88,3,1,120
255,2,Books,3,0.425,33,4,1,80
256,5,Sports,4,0.819,49,3,1,86
257,19,Clothing,2,0.331,33,6,1,3
