session_id,user_id,timestamp,device,traffic_source,duration_seconds,pages_viewed,bounce,converted,cart_value
S000001,1062,2024-01-08 22:00,Mobile,Organic,129,4,0,1,13.21
S000002,1044,2024-01-05 06:00,Desktop,Email,267,4,0,0,0.0
S000003,1060,2024-01-12 02:00,Tablet,Paid,164,3,0,0,0.0
S000004,1103,2024-01-26 11:00,Tablet,Email,186,6,0,0,0.0
S000005,1101,2024-03-15 19:00,Desktop,Direct,5,6,0,0,0.0
S000006,1015,2024-02-16 00:00,Mobile,Organic,818,7,0,1,83.46
S000007,1170,2024-03-10 02:00,Desktop,Paid,76,3,0,0,0.0
S000008,1115,2024-02-28 00:00,Desktop,Organic,148,9,0,0,0.0
S000009,1151,2024-02-14 05:00,Desktop,Social,222,2,0,0,0.0
S000010,1017,2024-02-17 16:00,Mobile,Organic,214,4,0,0,0.0
S000011,1122,2024-02-08 05:00,Tablet,Paid,189,2,0,0,0.0
S000012,1091,2024-01-07 21:00,Mobile,Social,546,2,0,0,0.0
S000013,1060,2024-02-06 15:00,Desktop,Organic,715,8,0,0,0.0
S000014,1133,2024-01-18 08:00,Desktop,Social,902,6,0,0,0.0
S000015,1078,2024-01-10 01:00,Mobile,Organic,185,5,0,0,0.0
S000016,1025,2024-01-23 02:00,Desktop,Organic,639,2,0,1,91.56
S000017,1151,2024-02-18 17:00,Mobile,Direct,89,2,0,0,0.0
S000018,1185,2024-01-06 10:00,Desktop,Email,21,6,0,0,0.0
S000019,1179,2024-01-31 21:00,Mobile,Email,348,4,0,0,0.0
S000020,1186,2024-01-28 16:00,Mobile,Social,96,2,0,0,0.0
S000021,1006,2024-01-20 20:00,Mobile,Direct,61,4,0,0,0.0
S000022,1094,2024-03-24 04:00,Mobile,Social,294,4,0,0,0.0
S000023,1050,2024-02-18 20:00,Tablet,Organic,558,5,0,0,0.0
S000024,1142,2024-01-01 03:00,Mobile,Organic,146,7,0,0,0.0
S000025,1165,2024-01-03 23:00,Mobile,Organic,189,2,0,0,0.0
S000026,1028,2024-02-25 02:00,Desktop,Organic,220,4,0,0,0.0
S000027,1064,2024-01-21 00:00,Desktop,Social,256,6,0,1,96.42
S000028,1034,2024-03-03 09:00,Desktop,Organic,153,4,0,0,0.0
S000029,1001,2024-01-03 13:00,Mobile,Social,12,7,0,0,0.0
S000030,1153,2024-01-08 09:00,Mobile,Social,1152,3,0,0,0.0
S000031,1061,2024-02-29 02:00,Tablet,Direct,26,8,0,0,0.0
S000032,1077,2024-03-11 21:00,Mobile,Social,237,5,0,0,0.0
S000033,1103,2024-03-13 11:00,Desktop,Direct,206,4,0,0,0.0
S000034,1164,2024-02-16 09:00,Mobile,Social,61,7,0,0,0.0
S000035,1052,2024-03-09 22:00,Desktop,Direct,344,5,0,0,0.0
S000036,1188,2024-01-26 12:00,Desktop,Organic,29,7,0,0,0.0
S000037,1036,2024-01-11 03:00,Mobile,Organic,53,1,1,0,0.0
S000038,1042,2024-02-09 09:00,Desktop,Paid,407,4,0,0,0.0
S000039,1055,2024-01-25 17:00,Desktop,Social,79,4,0,0,0.0
S000040,1132,2024-03-20 13:00,Mobile,Organic,782,8,0,0,0.0
S000041,1005,2024-01-11 15:00,Desktop,Organic,37,2,0,0,0.0
S000042,1136,2024-01-12 02:00,Mobile,Organic,309,10,0,0,0.0
S000043,1090,2024-01-08 10:00,Mobile,Organic,154,1,1,0,0.0
S000044,1165,2024-03-24 13:00,Desktop,Paid,199,6,0,0,0.0
S000045,1034,2024-03-09 21:00,Mobile,Social,483,6,0,0,0.0
S000046,1022,2024-03-10 07:00,Desktop,Organic,312,5,0,0,0.0
S000047,1146,2024-02-29 17:00,Desktop,Direct,708,9,0,1,58.94
S000048,1004,2024-01-10 06:00,Mobile,Direct,344,3,0,0,0.0
S000049,1079,2024-03-21 19:00,Desktop,Organic,69,5,0,0,0.0
S000050,1057,2024-03-24 00:00,Mobile,Paid,955,2,0,1,46.58
S000051,1006,2024-01-13 21:00,Tablet,Direct,78,6,0,0,0.0
S000052,1123,2024-02-05 02:00,Desktop,Organic,85,4,0,0,0.0
S000053,1128,2024-02-11 09:00,Mobile,Paid,229,5,0,0,0.0
S000054,1190,2024-01-17 06:00,Mobile,Organic,455,7,0,0,0.0
S000055,1117,2024-01-12 13:00,Mobile,Organic,124,6,0,1,45.59
S000056,1190,2024-02-14 09:00,Desktop,Organic,419,4,0,0,0.0
S000057,1079,2024-01-16 19:00,Desktop,Organic,104,5,0,1,33.4
S000058,1054,2024-03-18 01:00,Mobile,Organic,1351,9,0,1,98.69
S000059,1108,2024-02-17 09:00,Desktop,Email,328,1,1,0,0.0
S000060,1008,2024-03-15 00:00,Mobile,Social,188,4,0,0,0.0
S000061,1016,2024-03-30 04:00,Tablet,Organic,747,6,0,1,106.92
S000062,1006,2024-01-05 12:00,Desktop,Email,501,7,0,0,0.0
S000063,1174,2024-01-13 14:00,Tablet,Paid,130,3,0,0,0.0
S000064,1088,2024-01-05 07:00,Desktop,Organic,439,4,0,0,0.0
S000065,1054,2024-03-28 23:00,Mobile,Direct,55,5,0,0,0.0
S000066,1126,2024-02-25 03:00,Mobile,Email,587,3,0,0,0.0
S000067,1167,2024-03-08 03:00,Desktop,Organic,576,3,0,0,0.0
S000068,1033,2024-02-04 00:00,Desktop,Organic,16,3,0,0,0.0
S000069,1097,2024-01-16 10:00,Desktop,Organic,1253,6,0,0,0.0
S000070,1011,2024-01-20 18:00,Desktop,Social,222,4,0,0,0.0
