MedInc,HouseAge,AveRooms,AveBedrms,Population,Latitude,median_house_value
3.5109,29.0,4.865800865800866,1.0389610389610389,1770.0,33.2,1.66
1.3571,34.0,9.14420803782506,2.971631205673759,890.0,34.2,0.41
2.6458,35.0,5.319444444444445,1.2777777777777777,202.0,40.02,1.025
3.3675,33.0,4.84144645340751,0.9847009735744089,1726.0,32.78,1.582
7.7569,6.0,7.972727272727273,1.0298701298701298,2693.0,33.0,3.874
3.0469,20.0,5.656,1.008,337.0,39.74,0.85
1.7188,17.0,4.5443645083932855,1.0167865707434052,620.0,38.5,1.375
4.6,28.0,5.238888888888889,1.048148148148148,1610.0,37.53,2.232
3.8542,30.0,6.249363867684479,0.9923664122137404,1022.0,32.8,1.985
1.6232,7.0,4.993464052287582,,2049.0,34.49,0.934
2.6901,34.0,4.502976190476191,1.1428571428571428,986.0,34.08,2.356
3.8565,39.0,4.962795941375423,1.007891770011274,2941.0,37.65,2.398
3.5521,19.0,3.453801169590643,1.0467836257309941,1914.0,33.82,2.9
2.1985,36.0,,1.1095890410958904,2635.0,33.8,1.418
6.0436,46.0,5.131736526946108,1.001996007984032,1225.0,34.02,4.73
1.6172,9.0,3.6578947368421053,0.9894736842105263,810.0,37.29,0.563
2.5,17.0,,1.3073286052009456,1087.0,37.48,1.042
3.1161,21.0,5.369465648854962,1.0183206106870228,1687.0,38.68,1.316
12.0088,16.0,6.006711409395973,1.2147651006711409,237.0,33.96,5.00001
4.485,30.0,5.276315789473684,1.013157894736842,1753.0,33.81,1.806
2.8793,36.0,4.941558441558442,1.08008658008658,1836.0,33.91,1.181
2.625,19.0,4.870307167235495,1.0614334470989761,1026.0,36.3,0.57
2.0962,28.0,,,1093.0,40.28,0.74
8.111,14.0,8.791044776119403,1.0626865671641792,1293.0,33.64,3.089
4.0965,23.0,4.596984924623116,1.4301507537688443,1624.0,34.14,5.00001
3.1103,33.0,3.8198529411764706,0.9411764705882353,1432.0,34.21,1.435
3.5757,35.0,4.539087947882736,1.0407166123778502,1923.0,33.99,1.779
4.8286,17.0,6.518672199170124,1.0235131396957122,2531.0,32.87,1.585
1.6948,15.0,,1.221556886227545,893.0,39.83,0.875
2.0469,41.0,4.484581497797357,1.1233480176211454,1412.0,37.77,0.893
4.2619,17.0,4.593511450381679,1.0286259541984732,1422.0,33.88,1.397
2.9044,43.0,5.424657534246576,1.2465753424657535,261.0,34.02,1.729
2.5382,33.0,4.67095115681234,,1220.0,37.96,1.036
1.6944,33.0,4.892857142857143,1.0714285714285714,716.0,32.72,1.118
2.8594,14.0,7.672881355932203,1.4830508474576272,1640.0,34.89,0.817
5.6163,27.0,6.515669515669516,1.0056980056980056,1140.0,33.83,2.31
3.6429,42.0,,1.115606936416185,1419.0,37.78,3.284
2.3768,18.0,4.906,1.074,1503.0,34.07,0.953
6.5206,14.0,6.1907790143084265,1.068362480127186,1490.0,33.47,3.685
4.7,25.0,6.889400921658986,1.0368663594470047,1335.0,38.24,1.901
2.15,47.0,3.3795620437956204,0.9781021897810219,327.0,37.74,0.972
8.0499,36.0,6.080530973451327,1.0442477876106195,2216.0,34.13,4.956
4.1544,35.0,5.58457711442786,0.9776119402985075,783.0,34.15,5.00001
3.2578,18.0,5.755154639175258,1.2139175257731958,919.0,33.94,0.852
6.7099,50.0,7.503521126760563,1.0352112676056338,753.0,34.11,3.522
3.445,8.0,4.784123910939012,1.1355275895450145,3012.0,34.27,2.034
5.121,25.0,5.353820598006645,1.0166112956810631,1529.0,37.33,2.876
6.005,30.0,6.657794676806084,1.0228136882129277,731.0,37.7,2.639
2.6852,33.0,5.312849162011173,1.0335195530726258,1168.0,36.7,0.708
3.6339,28.0,5.592074592074592,1.0163170163170163,1613.0,33.87,2.201
1.3021,52.0,3.99163179916318,0.9748953974895398,533.0,34.06,1.0
2.4776,43.0,4.569832402234637,1.0782122905027933,494.0,37.74,1.016
3.5781,33.0,6.6415094339622645,1.2877358490566038,520.0,38.34,2.425
2.5,37.0,3.066518847006652,1.042128603104213,1185.0,34.13,2.071
6.0532,12.0,5.97153024911032,0.8576512455516014,765.0,35.6,1.028
3.9575,24.0,5.065921787709497,1.0804469273743016,2547.0,33.93,2.154
3.1797,48.0,4.1104651162790695,,458.0,38.44,1.404
2.2466,30.0,5.277258566978193,0.9719626168224299,1008.0,36.64,0.96
4.9643,34.0,5.059183673469388,1.0020408163265306,1131.0,33.63,3.179
2.0881,24.0,5.078407720144753,1.1097708082026538,1283.0,33.71,0.833
5.0,18.0,5.66941297631308,1.035015447991761,2641.0,37.56,2.697
3.2639,30.0,3.8326612903225805,1.0463709677419355,2685.0,33.88,1.201
2.4677,49.0,3.7938553022794848,,2862.0,34.09,2.192
5.6437,52.0,5.545774647887324,1.0,629.0,37.3,3.12
3.2262,25.0,10.787581699346406,2.215686274509804,994.0,37.21,0.972
3.6639,21.0,5.584016393442623,1.0532786885245902,1466.0,34.98,1.286
3.142,23.0,4.538277511961723,1.0526315789473684,1109.0,37.64,1.795
2.3547,31.0,4.174496644295302,1.0402684563758389,821.0,37.33,2.759
2.303,27.0,4.284023668639053,1.1952662721893492,978.0,34.43,2.61
4.5094,12.0,4.42638036809816,1.0920245398773005,1913.0,33.67,1.602
5.282,24.0,5.918495297805642,1.0,950.0,32.85,1.408
6.837,20.0,6.503225806451613,,767.0,37.35,3.83
1.6591,52.0,2.5,,65.0,32.73,1.125
2.4583,26.0,4.361643835616438,1.1753424657534246,1182.0,34.06,1.104
3.3616,13.0,5.896240601503759,1.1338345864661654,1902.0,33.97,0.896
3.5521,35.0,6.277777777777778,1.1157407407407407,620.0,38.44,1.683
2.565,52.0,3.477867203219316,1.0271629778672031,2286.0,37.79,2.25
4.7813,35.0,4.678861788617886,1.008130081300813,809.0,33.9,1.6
2.0982,26.0,3.4276401564537156,0.9947848761408083,2721.0,32.67,1.091
2.0326,19.0,3.9211703958691912,1.0647160068846815,7178.0,32.79,1.232
1.9583,25.0,4.718354430379747,1.1012658227848102,1183.0,32.72,0.886
3.5402,24.0,4.747311827956989,0.9139784946236559,1028.0,38.48,0.987
2.375,32.0,3.3503086419753085,1.037037037037037,3002.0,33.79,1.397
3.7159,52.0,5.325342465753424,0.9897260273972602,620.0,37.73,1.833
1.9236,52.0,4.5064935064935066,1.0909090909090908,558.0,34.07,1.172
9.7037,8.0,8.94675925925926,1.0717592592592593,1548.0,37.76,4.251
6.0516,29.0,6.9581395348837205,,463.0,33.63,5.00001
4.25,43.0,6.0814814814814815,1.1037037037037036,370.0,37.37,2.091
2.8025,5.0,4.947761194029851,1.1305970149253732,1767.0,32.78,0.843
3.2404,27.0,4.035984848484849,1.0284090909090908,1065.0,34.23,2.304
2.0536,44.0,2.7660550458715596,0.9495412844036697,588.0,34.03,1.864
2.3293,28.0,,,455.0,37.3,2.159
4.7885,36.0,5.935275080906149,1.022653721682848,864.0,34.21,3.022
3.6111,44.0,4.864022662889519,1.1076487252124645,848.0,34.16,2.545
2.0224,41.0,4.963470319634703,1.2420091324200913,462.0,38.62,0.649
2.4074,24.0,,1.0504009163802979,2522.0,34.17,2.194
3.2875,6.0,8.00625,1.53125,422.0,38.04,1.113
2.599,44.0,4.287390029325513,0.9912023460410557,821.0,34.0,3.622
4.5293,19.0,6.920661157024793,1.1305785123966943,1827.0,38.34,2.104
3.9306,37.0,4.58256880733945,1.0825688073394495,1030.0,33.64,2.684
3.875,11.0,9.37546468401487,2.0,616.0,33.04,1.981
3.3062,11.0,5.051420838971583,1.1244925575101488,1839.0,35.11,1.585
4.475,5.0,5.629370629370629,1.0,458.0,32.81,0.963
3.225,9.0,5.557640750670242,1.0831099195710456,916.0,38.66,1.633
4.9429,28.0,,0.9799599198396793,1500.0,33.8,2.548
3.6039,45.0,4.601217656012176,1.0030441400304415,1789.0,38.3,1.26
3.4196,43.0,5.023404255319149,1.0404255319148936,824.0,32.76,3.022
3.8824,37.0,5.04927536231884,0.9826086956521739,1128.0,38.02,1.137
2.375,31.0,2.5454545454545454,1.0,326.0,34.26,0.55
4.1862,15.0,5.538551401869159,1.1168224299065421,2043.0,38.33,1.836
1.5491,20.0,1.64,0.68,87.0,34.06,2.25
