applicant_id,age,gender,education,annual_income,credit_score,debt_to_income_ratio,employment_years,loan_amount_requested,approved
1,25,F,High School,46325,775,0.158,0.0,19036,1
2,57,M,Bachelor,17074,598,0.501,1.0,67569,0
3,51,M,High School,20328,531,0.039,3.0,7184,1
4,41,F,Bachelor,175878,687,0.378,1.0,18139,1
5,41,M,Bachelor,22641,754,0.304,2.0,21985,1
6,61,F,Bachelor,25385,823,0.323,,14904,1
7,25,F,High School,147583,721,0.196,1.0,34541,1
8,53,F,Master,280138,650,0.23,3.0,33078,1
9,30,M,Bachelor,24271,608,0.318,3.0,21506,0
10,25,M,Master,39302,680,0.53,8.0,19238,0
11,45,F,High School,60170,656,0.021,2.0,20827,1
12,66,M,Bachelor,138305,598,0.303,3.0,20902,1
13,55,F,High School,27116,843,0.44,1.0,21180,0
14,56,F,Bachelor,42312,822,0.022,2.0,20050,1
15,54,F,Bachelor,78151,770,0.248,22.0,24989,1
16,57,F,PhD,63631,606,,3.0,32099,0
17,45,M,Bachelor,39116,748,0.01,18.0,11906,1
18,27,M,Bachelor,45238,731,0.159,2.0,13025,1
19,60,F,High School,21483,715,0.185,0.0,9188,1
20,42,M,Bachelor,42493,779,0.221,0.0,33968,1
21,44,M,Bachelor,41779,730,0.338,0.0,24963,1
22,38,M,Bachelor,56347,739,0.618,5.0,28357,0
23,29,M,High School,35129,730,0.51,3.0,10777,1
24,64,M,High School,65050,707,0.17,1.0,53770,1
25,57,M,High School,90005,537,0.387,6.0,16245,1
26,51,F,PhD,53812,686,0.387,7.0,23959,1
27,39,M,Bachelor,60539,635,0.676,3.0,33765,0
28,59,F,High School,50609,577,0.203,2.0,13446,1
29,46,M,PhD,49023,814,0.274,1.0,16761,1
30,41,F,High School,31795,818,0.209,,24090,1
31,42,M,Bachelor,59272,788,0.317,3.0,91925,1
32,31,F,Master,46241,700,0.212,4.0,25605,1
33,25,M,Master,172112,788,0.326,3.0,49176,1
34,47,M,Master,125996,680,0.057,3.0,40248,1
35,62,M,Bachelor,61790,696,0.181,17.0,26476,1
36,23,F,PhD,31013,592,0.231,13.0,13432,1
37,61,F,High School,25148,711,0.174,2.0,37416,0
38,59,M,PhD,100176,684,0.434,1.0,10414,1
39,34,M,Master,57391,575,0.558,,49042,1
40,50,F,PhD,65387,675,0.097,0.0,24343,1
41,28,F,High School,17210,673,0.149,5.0,5854,1
42,56,M,High School,85516,823,0.312,8.0,18578,1
43,53,F,Bachelor,64386,751,0.45,0.0,30545,1
44,37,M,Bachelor,25178,680,0.099,14.0,19564,1
45,24,F,Bachelor,36941,699,0.287,2.0,31492,1
46,66,M,PhD,57424,683,0.587,,14400,1
47,41,M,Bachelor,50588,663,,0.0,11464,1
48,62,M,Bachelor,41138,593,0.273,15.0,21253,1
49,52,F,Bachelor,46069,667,0.675,8.0,22376,0
50,57,M,High School,42142,620,0.394,4.0,18505,0
51,56,F,High School,53719,579,0.447,1.0,40686,1
52,30,F,High School,118526,720,0.562,5.0,14398,1
53,38,F,Master,10509,711,0.385,6.0,25760,1
54,42,M,Master,42526,537,0.238,18.0,22787,0
55,44,M,Bachelor,54497,670,,0.0,10113,1
56,23,M,Bachelor,58547,759,0.329,3.0,11389,1
57,46,F,Bachelor,39216,764,0.202,1.0,22158,1
58,28,F,Master,17085,762,0.735,1.0,59313,1
59,55,M,Master,59682,683,0.403,13.0,29426,1
60,53,F,Bachelor,138193,612,0.454,0.0,9294,1
61,64,M,Master,19529,593,0.405,7.0,4650,1
62,56,M,Bachelor,82314,707,0.081,16.0,31777,1
63,38,M,Bachelor,40250,710,0.376,0.0,20991,1
64,66,F,Master,47249,782,0.19,1.0,38973,1
65,40,M,Bachelor,26062,767,0.14,2.0,14180,1
66,36,M,Bachelor,40107,669,0.268,,26241,1
67,63,F,Bachelor,106940,580,0.245,0.0,33627,1
68,38,F,Bachelor,69535,654,0.616,1.0,17610,1
69,24,M,Bachelor,138605,697,0.194,0.0,17800,1
70,43,M,Bachelor,99354,663,,5.0,22306,1
71,58,M,Bachelor,63796,633,0.192,5.0,28892,0
72,29,M,High School,139575,700,0.449,5.0,21869,1
73,42,M,Master,63792,639,0.075,13.0,35846,0
74,27,F,Bachelor,80562,629,0.403,,17483,1
75,53,M,PhD,41029,704,0.305,3.0,11336,1
76,43,F,High School,51017,647,0.406,2.0,59188,1
77,36,M,Bachelor,32258,699,0.265,14.0,16279,1
78,31,M,Bachelor,88765,701,0.397,1.0,16577,1
79,47,M,Master,24173,588,0.416,6.0,21313,0
80,52,M,High School,78386,641,0.162,0.0,22778,1
81,65,M,Master,43722,795,0.075,0.0,18154,1
82,41,M,Bachelor,98987,587,0.404,4.0,21835,1
83,28,F,Bachelor,76920,510,0.383,4.0,21592,0
84,60,F,Bachelor,146149,531,0.309,15.0,24038,1
85,50,M,High School,75998,682,0.045,0.0,6776,1
86,53,F,Bachelor,19087,682,0.339,2.0,56412,0
87,25,F,High School,47090,670,0.135,11.0,20462,1
88,35,F,Bachelor,24265,777,0.423,4.0,29445,0
89,57,M,Bachelor,35919,466,0.618,,11058,0
90,60,M,Bachelor,121386,711,0.446,0.0,17404,1
91,41,M,High School,71863,804,0.227,,15738,1
92,58,M,High School,32229,589,0.23,3.0,45929,1
93,60,M,High School,26682,649,0.076,1.0,16433,1
94,39,F,High School,49994,619,0.183,5.0,32178,1
95,63,F,Bachelor,23625,608,0.285,8.0,15911,1
96,34,M,High School,32771,653,0.53,12.0,17565,0
97,32,M,Master,59112,794,0.181,12.0,19481,1
98,53,M,High School,98045,826,0.435,,41853,1
99,50,M,High School,70633,653,0.391,0.0,8561,0
100,27,F,Master,12397,832,0.081,1.0,11409,1
101,60,M,High School,58842,682,0.284,3.0,8319,1
102,30,F,Bachelor,51185,820,0.371,14.0,12787,1
103,58,F,PhD,62839,672,0.255,0.0,14679,1
104,21,F,PhD,129278,690,0.613,7.0,9825,1
105,58,F,Master,14215,709,0.419,,15259,0
106,57,F,High School,34383,850,0.315,0.0,8043,1
107,57,M,Bachelor,69880,748,0.306,0.0,13240,1
108,52,M,PhD,18978,623,0.502,2.0,40143,0
109,43,F,PhD,118844,757,0.096,12.0,26951,1
110,54,M,High School,61145,651,0.212,6.0,24190,1
111,34,F,Bachelor,81466,640,0.293,9.0,13341,1
112,57,M,Bachelor,34802,752,0.29,4.0,10218,1
113,47,M,High School,79878,682,0.159,3.0,12461,1
114,42,M,Bachelor,93067,702,0.346,26.0,21555,1
115,44,F,High School,56371,681,0.01,9.0,33999,1
116,47,M,Bachelor,56423,706,0.319,,34585,1
117,22,M,High School,57653,713,0.026,0.0,30191,0
118,27,M,Bachelor,29202,525,0.337,0.0,15233,1
119,32,F,High School,44868,733,0.172,4.0,22298,1
120,26,F,Bachelor,44733,601,,11.0,18757,1
121,41,M,High School,61699,564,0.184,6.0,19918,1
122,52,F,PhD,89312,675,0.426,0.0,60996,1
123,51,M,High School,25974,686,0.424,6.0,9127,0
124,43,F,Bachelor,45478,624,0.174,8.0,19587,0
125,61,M,High School,119237,746,0.131,21.0,40371,1
126,47,M,High School,31377,572,0.234,0.0,10583,1
127,24,F,High School,29930,647,0.218,0.0,15964,1
128,56,F,High School,55347,633,0.186,9.0,16906,1
129,48,M,High School,81359,676,0.356,5.0,19699,0
130,50,F,Bachelor,49358,702,0.128,2.0,9917,0
131,47,F,Bachelor,108811,599,0.179,,29662,1
132,47,M,High School,81967,737,0.212,3.0,30734,1
133,25,F,Bachelor,81234,685,,12.0,28401,1
134,47,F,Bachelor,68354,528,0.185,9.0,14254,0
135,58,M,High School,198112,523,0.386,3.0,23000,1
136,35,F,Bachelor,43343,679,0.653,3.0,14048,0
137,49,M,High School,14733,662,0.419,2.0,18651,1
138,22,F,High School,128354,671,0.246,4.0,64649,1
139,37,M,Bachelor,37248,677,0.282,7.0,23106,0
140,41,M,PhD,52298,698,,6.0,12164,1
141,67,F,PhD,107552,755,0.515,11.0,24104,0
142,31,F,PhD,18744,591,0.307,4.0,11204,1
143,33,F,Bachelor,23132,586,0.436,5.0,12094,1
144,40,F,High School,18755,592,0.316,3.0,13087,1
145,67,M,Bachelor,30440,703,0.232,10.0,17638,1
146,61,M,High School,63817,779,0.225,22.0,35188,1
147,22,M,High School,67138,645,0.318,2.0,29413,1
148,31,M,High School,57859,479,0.313,6.0,28609,0
149,59,M,Bachelor,21001,543,0.442,1.0,12715,0
150,23,F,Bachelor,12258,613,,4.0,16803,1
151,61,F,High School,50645,635,0.34,7.0,25235,1
152,34,M,Master,36935,647,,1.0,16088,1
153,64,M,Bachelor,64578,683,0.602,3.0,19164,0
154,34,F,Master,74695,655,0.079,16.0,27465,1
155,41,M,High School,53260,763,0.23,0.0,18501,1
156,52,M,Bachelor,77348,625,0.359,11.0,24662,1
157,26,M,High School,56248,611,0.242,,48842,1
158,47,M,Bachelor,67375,718,0.728,5.0,20212,1
159,44,M,High School,32118,557,0.466,5.0,39722,1
160,57,F,High School,44012,711,0.285,,29134,0
161,67,M,Bachelor,55163,688,0.438,10.0,10576,1
162,52,F,High School,80203,668,0.04,5.0,12694,1
163,40,M,High School,38706,807,0.462,4.0,14518,1
164,40,F,PhD,67016,630,0.441,3.0,14365,1
165,40,M,High School,41793,844,0.103,5.0,21054,1
166,59,M,Bachelor,45682,661,0.281,0.0,29951,1
167,36,M,Bachelor,80636,577,,1.0,41257,1
168,28,M,High School,14826,685,0.309,3.0,25695,0
169,36,M,Bachelor,22519,593,0.165,4.0,17626,1
170,22,F,High School,20144,619,0.421,3.0,7776,0
171,25,M,Master,12086,711,0.304,11.0,22817,1
172,25,M,High School,32631,724,,5.0,22312,1
173,57,M,High School,76853,630,0.568,4.0,24136,0
174,54,F,Bachelor,41318,758,0.079,16.0,63140,1
175,53,F,Master,55197,772,0.527,10.0,40957,1
176,42,F,Master,94233,794,0.256,12.0,32615,1
177,54,F,PhD,108728,722,0.135,9.0,13615,1
178,28,F,Bachelor,47028,789,,,17043,1
179,63,F,Bachelor,110431,529,0.347,7.0,21006,0
180,44,M,Bachelor,51806,654,0.42,2.0,14947,0
181,65,F,Master,29660,610,0.431,0.0,28289,1
182,28,F,Bachelor,34315,689,0.253,6.0,26329,1
183,44,M,Bachelor,20164,634,0.201,0.0,12782,1
184,53,F,Bachelor,28770,666,0.292,5.0,40071,1
185,44,M,Bachelor,39544,830,0.071,0.0,23182,0
186,41,M,High School,79391,666,0.369,,9278,1
