date,ticker,close_price,daily_return,volume
2022-01-03,AAPL,150.7,0.0047,12473153
2022-01-04,AAPL,149.16,-0.01024,5641516
2022-01-05,AAPL,143.86,-0.03555,14444315
2022-01-06,AAPL,143.94,0.0006,9848854
2022-01-07,AAPL,141.96,-0.0138,16407498
2022-01-10,AAPL,144.41,0.01728,8360995
2022-01-11,AAPL,143.01,-0.00971,7434592
2022-01-12,AAPL,141.0,-0.01408,9004923
2022-01-13,AAPL,139.47,-0.01079,11908598
2022-01-14,AAPL,138.61,-0.00617,7444763
2022-01-17,AAPL,142.49,0.02797,6181924
2022-01-18,AAPL,138.51,-0.02792,10671717
2022-01-19,AAPL,133.37,-0.0371,10141934
2022-01-20,AAPL,135.77,0.01797,9203160
2022-01-21,AAPL,135.83,0.00047,3187333
2022-01-24,AAPL,137.23,0.0103,10833419
2022-01-25,AAPL,134.38,-0.0208,23128712
2022-01-26,AAPL,131.46,-0.02173,3837588
2022-01-27,AAPL,127.21,-0.0323,9002253
2022-01-28,AAPL,128.02,0.00638,11078168
2022-01-31,AAPL,127.28,-0.00577,5918907
2022-02-01,AAPL,129.25,0.01547,5672878
2022-02-02,AAPL,126.48,-0.02148,17906204
2022-02-03,AAPL,126.92,0.0035,11247370
2022-02-04,AAPL,128.39,0.01157,6676479
2022-02-07,AAPL,127.19,-0.00929,12240869
2022-02-08,AAPL,125.82,-0.01081,10511814
2022-02-09,AAPL,125.65,-0.00131,4890789
2022-02-10,AAPL,127.88,0.0177,4663696
2022-02-11,AAPL,128.45,0.00449,9188767
2022-02-14,AAPL,131.42,0.0231,5076778
2022-02-15,AAPL,130.17,-0.00948,8451434
2022-02-16,AAPL,130.64,0.00356,13718125
2022-02-17,AAPL,131.41,0.0059,8997256
2022-02-18,AAPL,133.88,0.01881,25343472
2022-02-21,AAPL,130.65,-0.0241,8860614
2022-02-22,AAPL,132.48,0.01397,9275353
2022-02-23,AAPL,135.94,0.02612,7518775
2022-02-24,AAPL,133.5,-0.01795,13732218
2022-02-25,AAPL,126.88,-0.04961,7004900
2022-02-28,AAPL,132.32,0.04289,9003480
2022-03-01,AAPL,133.21,0.00674,5521703
2022-03-02,AAPL,133.19,-0.00012,8276250
2022-03-03,AAPL,137.69,0.03375,5362596
2022-03-04,AAPL,130.89,-0.04941,10889674
2022-03-07,AAPL,134.58,0.0282,6297524
2022-03-08,AAPL,130.2,-0.03252,5196984
2022-03-09,AAPL,131.26,0.0081,6708397
2022-03-10,AAPL,131.39,0.00106,2733905
2022-03-11,AAPL,130.2,-0.00907,13178972
2022-03-14,AAPL,129.62,-0.00446,5325296
2022-03-15,AAPL,132.12,0.01923,14555642
2022-03-16,AAPL,131.05,-0.00808,6132319
2022-03-17,AAPL,134.1,0.02331,6749883
2022-03-18,AAPL,133.75,-0.00264,21866876
