transaction_id,customer_id,date,hour,day_of_week,amount,category,is_fraud
1,1096,2024-06-07,8,5,35.46,Electronics,0
2,1061,2024-06-27,18,3,28.37,Entertainment,0
3,1025,2024-05-31,15,1,106.41,Electronics,0
4,1057,2024-06-10,9,2,139.68,Food,0
5,1046,2024-06-19,11,4,39.64,Electronics,0
6,1051,2024-05-31,19,2,189.95,Healthcare,0
7,1079,2024-04-02,23,2,872.37,Entertainment,0
8,1000,2024-01-15,15,2,279.42,Electronics,0
9,1034,2024-04-05,15,5,53.09,Electronics,0
10,1055,2024-03-03,20,0,87.9,Electronics,0
11,1024,2024-05-28,16,6,60.46,Travel,0
12,1096,2024-03-14,11,1,52.13,Healthcare,0
13,1089,2024-02-18,11,4,81.4,Food,0
14,1039,2024-06-20,15,2,29.86,Electronics,0
15,1010,2024-05-30,13,5,222.41,Food,0
16,1001,2024-05-18,6,3,51.1,Utilities,0
17,1027,2024-02-28,17,3,11.32,Utilities,0
18,1024,2024-01-22,11,3,72.72,Utilities,0
19,1091,2024-05-06,14,1,65.0,Travel,0
20,1094,2024-01-27,12,6,62.38,Food,0
21,1054,2024-06-07,17,0,45.05,Food,0
22,1089,2024-05-14,21,4,254.72,Food,0
23,1006,2024-05-12,13,6,126.67,Food,0
24,1047,2024-02-15,12,5,66.45,Utilities,0
25,1023,2024-04-07,14,0,185.02,Entertainment,0
26,1011,2024-06-21,17,3,35.49,Food,0
27,1018,2024-05-10,1,4,40.96,Healthcare,1
28,1007,2024-05-08,3,5,82.4,Food,1
29,1071,2024-03-08,18,0,34.47,Utilities,0
30,1098,2024-05-10,16,5,39.39,Utilities,0
31,1050,2024-04-06,6,5,101.86,Healthcare,0
32,1006,2024-01-05,14,6,499.17,Healthcare,0
33,1046,2024-04-18,16,3,202.09,Electronics,0
34,1048,2024-06-04,20,1,12.66,Electronics,0
35,1002,2024-04-26,7,3,69.81,Utilities,0
36,1040,2024-03-25,17,6,49.68,Food,0
37,1074,2024-04-02,21,4,128.53,Food,0
38,1076,2024-05-23,20,0,193.34,Utilities,0
39,1034,2024-01-19,6,1,68.99,Utilities,0
40,1007,2024-01-27,13,5,27.49,Food,0
41,1003,2024-03-27,8,0,190.91,Utilities,0
42,1049,2024-01-30,10,2,130.97,Entertainment,0
43,1026,2024-05-29,6,3,192.31,Food,0
44,1086,2024-02-18,21,4,118.6,Healthcare,0
45,1019,2024-05-25,12,0,9.17,Food,0
46,1041,2024-01-05,18,0,36.9,Utilities,0
47,1009,2024-06-10,23,5,64.83,Food,0
48,1077,2024-03-27,21,6,178.98,Food,0
49,1009,2024-02-16,22,1,11.81,Travel,0
50,1054,2024-04-09,5,6,32.74,Food,0
51,1024,2024-06-13,13,6,37.59,Utilities,0
52,1018,2024-06-24,23,5,46.77,Utilities,0
53,1088,2024-04-10,14,3,188.74,Food,0
54,1077,2024-03-24,19,0,54.07,Food,0
55,1014,2024-04-13,7,4,43.51,Food,0
56,1025,2024-02-18,16,5,134.35,Utilities,0
57,1022,2024-06-06,13,0,60.56,Healthcare,0
58,1060,2024-05-14,10,3,27.7,Food,0
59,1031,2024-06-17,8,1,20.97,Healthcare,0
60,1028,2024-05-04,9,2,87.88,Utilities,0
61,1052,2024-05-04,15,5,6.49,Healthcare,0
62,1099,2024-02-09,18,3,44.56,Healthcare,0
63,1022,2024-04-20,17,0,23.23,Travel,0
64,1031,2024-03-04,16,3,191.77,Food,0
65,1086,2024-06-17,11,4,60.25,Travel,0
66,1031,2024-04-24,4,5,16.82,Food,0
67,1077,2024-03-10,18,5,232.18,Healthcare,0
68,1047,2024-01-12,10,4,33.13,Healthcare,0
69,1015,2024-04-01,14,4,50.88,Food,0
70,1037,2024-05-13,10,3,109.84,Utilities,0
71,1089,2024-03-18,5,5,99.72,Electronics,0
72,1067,2024-04-12,8,6,70.33,Utilities,0
73,1080,2024-04-15,13,1,30.4,Food,0
74,1057,2024-04-20,10,3,31.77,Food,0
75,1088,2024-05-28,4,3,83.18,Entertainment,0
76,1041,2024-04-19,9,3,26.57,Food,0
77,1077,2024-01-07,12,5,63.0,Utilities,0
78,1017,2024-03-18,15,0,4.59,Utilities,0
79,1018,2024-01-08,8,2,113.22,Entertainment,0
80,1014,2024-03-05,11,2,46.8,Healthcare,0
81,1037,2024-01-13,11,6,24.22,Electronics,0
82,1026,2024-03-18,15,6,23.52,Entertainment,0
83,1055,2024-03-02,13,5,72.76,Utilities,0
84,1096,2024-04-02,6,5,116.96,Utilities,0
85,1089,2024-03-11,16,4,47.86,Utilities,0
86,1048,2024-03-17,9,5,78.84,Travel,0
87,1007,2024-06-08,16,1,69.4,Healthcare,0
88,1045,2024-02-27,14,1,134.37,Healthcare,0
89,1033,2024-01-02,19,0,24.62,Entertainment,0
90,1064,2024-04-16,18,3,74.33,Healthcare,0
91,1019,2024-04-26,21,5,41.34,Electronics,0
92,1037,2024-01-05,16,6,63.82,Travel,0
93,1014,2024-03-04,14,6,30.73,Utilities,0
94,1064,2024-04-23,13,0,64.46,Utilities,0
95,1043,2024-03-26,19,2,18.68,Utilities,0
96,1098,2024-05-13,11,0,52.28,Food,0
97,1054,2024-01-05,15,5,73.36,Food,0
98,1053,2024-06-02,23,5,69.35,Utilities,1
99,1098,2024-02-21,18,3,125.81,Travel,0
100,1035,2024-01-21,7,5,22.44,Entertainment,0
101,1065,2024-06-13,10,1,23.74,Entertainment,0
102,1052,2024-04-12,11,6,83.36,Healthcare,0
103,1075,2024-04-18,13,2,129.27,Electronics,0
104,1050,2024-06-18,7,6,80.12,Entertainment,0
105,1040,2024-02-08,13,0,38.04,Food,0
106,1029,2024-06-02,13,4,31.76,Electronics,0
107,1008,2024-05-04,8,2,143.76,Electronics,0
108,1019,2024-01-26,6,6,5.13,Utilities,0
109,1055,2024-06-09,19,5,72.34,Electronics,0
110,1071,2024-05-07,23,0,83.09,Utilities,0
111,1062,2024-05-08,18,0,89.61,Food,0
112,1049,2024-01-02,10,2,71.18,Entertainment,0
113,1081,2024-01-10,13,5,42.91,Electronics,0
114,1025,2024-06-21,21,0,670.28,Electronics,0
115,1033,2024-02-21,14,1,483.58,Utilities,0
116,1076,2024-01-16,11,2,141.43,Healthcare,0
117,1036,2024-05-14,10,4,95.63,Travel,0
118,1091,2024-06-08,9,2,29.3,Utilities,0
119,1057,2024-04-10,16,5,83.31,Food,0
120,1058,2024-01-11,9,4,95.78,Food,0
121,1024,2024-03-22,14,6,139.96,Utilities,0
122,1005,2024-01-08,15,2,13.56,Utilities,0
123,1068,2024-04-13,11,4,64.23,Food,0
124,1054,2024-01-13,13,4,61.45,Utilities,0
125,1002,2024-04-17,13,0,65.94,Entertainment,0
126,1064,2024-05-08,15,0,85.9,Entertainment,0
127,1013,2024-06-18,7,4,33.95,Entertainment,0
128,1081,2024-04-28,21,4,10.88,Electronics,0
129,1071,2024-03-22,7,3,82.32,Food,0
130,1014,2024-01-17,15,0,38.43,Entertainment,0
131,1098,2024-06-04,13,4,64.81,Food,0
132,1086,2024-01-29,9,4,154.1,Food,0
133,1044,2024-06-28,10,5,99.8,Electronics,0
134,1056,2024-03-02,8,1,28.25,Travel,0
135,1011,2024-06-16,11,6,36.96,Travel,0
136,1043,2024-05-12,11,3,40.96,Entertainment,0
137,1011,2024-05-11,12,1,58.87,Utilities,0
138,1001,2024-04-26,16,5,66.74,Food,0
139,1069,2024-04-11,13,0,298.43,Healthcare,0
140,1018,2024-03-01,23,1,4.88,Food,1
141,1046,2024-04-10,12,6,45.55,Travel,0
142,1027,2024-01-13,10,0,91.56,Travel,0
143,1051,2024-06-13,8,0,25.09,Food,0
144,1092,2024-04-01,14,4,33.87,Utilities,0
145,1088,2024-03-17,7,5,45.15,Food,0
146,1038,2024-02-13,10,6,71.85,Food,0
147,1025,2024-03-20,10,0,70.39,Entertainment,0
148,1054,2024-01-01,7,3,52.39,Utilities,0
149,1058,2024-04-28,14,4,24.78,Utilities,0
150,1063,2024-03-31,8,3,108.15,Travel,0
151,1033,2024-03-31,15,0,25.79,Travel,0
152,1076,2024-06-24,18,0,200.91,Food,0
153,1064,2024-03-01,14,4,30.7,Utilities,0
154,1015,2024-04-30,0,4,25.49,Utilities,1
155,1053,2024-06-14,16,2,44.64,Food,0
156,1012,2024-03-01,16,5,21.3,Food,0
157,1086,2024-05-08,19,2,35.76,Healthcare,0
158,1067,2024-05-30,13,6,23.68,Entertainment,0
159,1001,2024-01-30,18,3,77.25,Utilities,0
160,1016,2024-04-16,12,5,125.8,Food,0
161,1023,2024-03-05,18,6,29.14,Utilities,0
162,1094,2024-05-12,9,5,904.8,Utilities,0
163,1025,2024-03-13,23,3,43.57,Utilities,0
164,1038,2024-06-17,14,2,40.3,Electronics,0
165,1051,2024-06-01,22,2,54.58,Travel,0
166,1073,2024-04-25,13,2,110.32,Food,0
167,1061,2024-06-14,18,1,1015.52,Travel,0
168,1022,2024-06-22,15,3,49.96,Food,0
169,1094,2024-03-19,3,1,101.49,Utilities,1
170,1029,2024-05-15,8,4,139.86,Food,0
171,1012,2024-04-28,14,4,38.31,Healthcare,0
172,1091,2024-01-01,8,6,102.62,Food,0
173,1000,2024-01-09,13,4,99.7,Electronics,0
174,1018,2024-06-25,19,1,37.47,Entertainment,0
175,1050,2024-02-25,5,5,93.13,Entertainment,0
176,1042,2024-01-21,9,4,68.24,Food,0
177,1034,2024-01-10,9,5,92.15,Utilities,0
178,1092,2024-02-15,14,3,227.49,Electronics,0
179,1054,2024-06-25,13,5,34.5,Travel,0
180,1023,2024-04-12,14,3,430.21,Electronics,0
181,1096,2024-06-14,13,0,38.06,Healthcare,0
182,1062,2024-01-07,16,3,67.75,Food,0
183,1022,2024-04-08,9,2,44.74,Healthcare,0
184,1016,2024-02-23,17,5,50.46,Entertainment,0
185,1062,2024-06-05,20,5,31.87,Food,0
186,1020,2024-01-30,18,5,64.08,Food,0
187,1043,2024-03-15,11,4,52.13,Electronics,0
188,1023,2024-04-29,11,2,23.33,Travel,0
189,1090,2024-02-04,11,1,17.52,Food,0
190,1091,2024-04-19,18,4,32.95,Electronics,0
191,1031,2024-03-28,0,1,61.92,Food,1
192,1010,2024-05-21,14,2,811.03,Food,0
193,1050,2024-05-18,10,1,42.33,Utilities,0
194,1051,2024-01-19,13,2,96.06,Utilities,0
195,1009,2024-04-22,17,4,23.09,Healthcare,0
196,1017,2024-04-07,10,5,31.81,Electronics,0
197,1059,2024-04-23,11,0,57.21,Utilities,0
198,1021,2024-06-01,11,5,9.43,Food,0
199,1064,2024-03-16,18,2,121.2,Food,0
200,1005,2024-04-28,9,5,87.53,Electronics,0
201,1029,2024-04-11,5,4,233.04,Food,0
202,1025,2024-02-13,10,4,20.89,Electronics,0
203,1076,2024-06-23,8,3,29.52,Electronics,0
204,1003,2024-03-31,10,2,87.29,Entertainment,0
205,1037,2024-03-05,18,2,40.66,Food,0
206,1013,2024-04-04,13,3,44.62,Entertainment,0
207,1015,2024-04-29,18,5,160.94,Healthcare,0
208,1033,2024-02-05,17,0,31.09,Healthcare,0
209,1095,2024-04-21,16,2,31.79,Electronics,0
210,1066,2024-03-05,17,2,28.65,Food,0
211,1030,2024-01-19,5,6,32.6,Healthcare,0
212,1021,2024-05-12,18,6,120.28,Food,0
213,1045,2024-01-05,10,4,77.53,Entertainment,0
214,1021,2024-06-25,9,2,50.09,Electronics,0
215,1048,2024-02-07,11,6,88.7,Entertainment,0
216,1082,2024-01-24,23,4,81.2,Utilities,0
217,1026,2024-02-25,17,5,26.66,Healthcare,0
218,1077,2024-02-16,15,2,2418.52,Entertainment,0
219,1014,2024-06-20,17,3,54.4,Utilities,0
220,1062,2024-03-23,15,4,119.27,Travel,0
221,1006,2024-01-09,16,4,78.35,Utilities,0
222,1035,2024-04-07,12,2,26.2,Utilities,0
223,1015,2024-04-09,20,6,1570.14,Utilities,0
224,1025,2024-03-08,11,5,213.47,Healthcare,0
225,1021,2024-01-04,23,1,42.12,Utilities,0
226,1081,2024-05-15,19,2,30.2,Entertainment,0
227,1075,2024-01-19,11,1,61.75,Healthcare,0
228,1062,2024-03-30,3,3,27.06,Food,0
229,1087,2024-02-18,20,0,42.69,Entertainment,0
230,1011,2024-04-06,10,1,35.63,Food,0
231,1020,2024-05-13,11,4,37.31,Electronics,0
232,1004,2024-04-14,17,4,161.95,Food,0
233,1062,2024-03-02,22,5,59.88,Entertainment,0
234,1004,2024-01-29,13,5,39.33,Entertainment,0
235,1063,2024-05-11,14,0,25.99,Electronics,0
236,1029,2024-01-03,15,5,50.85,Food,0
237,1038,2024-01-18,16,1,121.38,Entertainment,0
238,1064,2024-05-04,9,1,44.88,Entertainment,0
239,1031,2024-03-06,12,1,7.69,Utilities,0
240,1031,2024-05-13,16,5,11.13,Food,0
241,1034,2024-03-30,12,4,46.82,Electronics,0
242,1096,2024-05-26,19,4,37.31,Electronics,0
243,1050,2024-03-26,18,2,34.99,Healthcare,0
244,1040,2024-05-29,16,4,19.54,Travel,0
245,1089,2024-01-20,17,6,88.49,Travel,0
246,1096,2024-03-16,8,4,13.91,Food,0
247,1089,2024-03-09,17,5,344.3,Food,0
248,1082,2024-02-13,0,3,108.69,Electronics,0
249,1016,2024-03-25,19,1,18.51,Food,0
250,1025,2024-03-25,16,2,10.61,Entertainment,0
251,1003,2024-03-02,14,3,160.06,Food,0
252,1061,2024-04-09,6,3,35.39,Electronics,0
253,1069,2024-04-06,18,5,27.0,Electronics,0
254,1017,2024-04-09,15,0,72.65,Healthcare,0
255,1082,2024-02-15,10,0,88.67,Healthcare,0
256,1070,2024-04-07,14,5,56.58,Electronics,0
