experiment_id,temperature_C,concentration_mM,catalyst,replicate,yield_percent,reaction_time_min,purity_percent
1,20,0.1,None,1,19.0,41.9,
2,20,0.1,None,2,24.2,45.5,99.5
3,20,0.1,None,3,24.42,53.1,99.9
4,20,0.1,None,4,29.27,61.3,91.3
5,20,0.1,None,5,26.66,49.7,84.8
6,20,0.1,None,6,31.26,45.4,85.5
7,20,0.1,None,7,31.32,51.8,90.4
8,20,0.1,None,8,26.04,48.8,84.1
9,20,0.1,None,9,24.46,57.9,93.8
10,20,0.1,None,10,31.73,47.4,99.9
11,20,0.1,None,11,24.95,57.8,97.2
12,20,0.1,TypeA,1,39.94,62.3,90.8
13,20,0.1,TypeA,2,36.63,66.6,99.2
14,20,0.1,TypeA,3,39.58,32.3,99.9
15,20,0.1,TypeA,4,38.09,55.8,
16,20,0.1,TypeA,5,37.54,23.0,96.7
17,20,0.1,TypeA,6,36.6,48.8,87.7
18,20,0.1,TypeA,7,37.47,44.8,84.0
19,20,0.1,TypeA,8,37.34,44.0,85.1
20,20,0.1,TypeA,9,39.51,32.2,88.7
21,20,0.1,TypeA,10,30.66,28.6,94.7
22,20,0.1,TypeA,11,43.69,39.8,91.2
23,20,0.1,TypeB,1,43.62,70.6,94.5
24,20,0.1,TypeB,2,40.02,56.6,96.3
25,20,0.1,TypeB,3,39.79,47.2,88.2
26,20,0.1,TypeB,4,40.84,32.0,99.9
27,20,0.1,TypeB,5,44.94,24.3,81.8
28,20,0.1,TypeB,6,37.63,44.1,97.8
29,20,0.1,TypeB,7,39.06,56.1,83.9
30,20,0.1,TypeB,8,39.26,43.3,86.4
31,20,0.1,TypeB,9,37.11,51.5,93.5
32,20,0.1,TypeB,10,43.05,23.6,99.9
33,20,0.1,TypeC,1,38.87,67.3,91.7
34,20,0.1,TypeC,2,31.01,51.1,92.8
35,20,0.1,TypeC,3,36.14,20.3,90.1
36,20,0.1,TypeC,4,33.83,34.1,86.4
37,20,0.1,TypeC,5,38.78,50.6,86.7
38,20,0.1,TypeC,6,38.53,40.8,87.1
39,20,0.1,TypeC,7,30.48,38.3,94.8
40,20,0.1,TypeC,8,32.92,47.4,89.3
41,20,0.5,None,1,40.77,48.5,
42,20,0.5,None,2,46.56,52.3,90.7
43,20,0.5,None,3,43.86,38.9,89.8
44,20,0.5,None,4,43.98,56.0,83.1
