date,station,latitude,temp_celsius,precipitation_mm,humidity_percent,wind_speed_kmh
2023-01-01,STN_NORTH,45.0,-6.3,3.6,88.8,11.5
2023-01-02,STN_NORTH,45.0,0.8,0.0,80.8,10.9
2023-01-03,STN_NORTH,45.0,-3.3,6.8,80.2,1.9
2023-01-04,STN_NORTH,45.0,-7.6,0.0,36.0,6.3
2023-01-05,STN_NORTH,45.0,-4.8,0.0,69.7,7.4
2023-01-06,STN_NORTH,45.0,-2.7,3.3,91.5,5.4
2023-01-07,STN_NORTH,45.0,-3.3,0.0,69.8,13.3
2023-01-08,STN_NORTH,45.0,-2.8,0.0,69.1,3.3
2023-01-09,STN_NORTH,45.0,-5.7,0.0,67.5,21.0
2023-01-10,STN_NORTH,45.0,-3.3,0.0,59.1,4.1
2023-01-11,STN_NORTH,45.0,-6.6,0.0,54.1,31.1
2023-01-12,STN_NORTH,45.0,4.2,0.0,64.9,34.4
2023-01-13,STN_NORTH,45.0,-4.3,0.0,52.9,19.5
2023-01-14,STN_NORTH,45.0,-1.7,0.0,49.3,1.5
2023-01-15,STN_NORTH,45.0,-7.7,0.0,64.0,3.7
2023-01-16,STN_NORTH,45.0,-1.6,0.0,55.1,24.2
2023-01-17,STN_NORTH,45.0,-8.5,0.0,39.0,8.0
2023-01-18,STN_NORTH,45.0,-0.2,1.4,88.0,12.9
2023-01-19,STN_NORTH,45.0,-4.4,0.6,79.7,30.9
2023-01-20,STN_NORTH,45.0,-1.5,0.0,62.3,2.8
2023-01-21,STN_NORTH,45.0,-1.1,0.0,57.3,7.6
2023-01-22,STN_NORTH,45.0,-2.3,4.9,,17.0
2023-01-23,STN_NORTH,45.0,-4.2,0.0,51.0,30.2
2023-01-24,STN_NORTH,45.0,-0.9,0.0,58.5,9.1
2023-01-25,STN_NORTH,45.0,5.1,0.0,68.9,15.5
2023-01-26,STN_NORTH,45.0,-2.1,0.0,71.4,8.0
2023-01-27,STN_NORTH,45.0,1.2,4.7,78.5,13.6
2023-01-28,STN_NORTH,45.0,-2.2,0.0,62.5,55.7
2023-01-29,STN_NORTH,45.0,3.0,0.0,64.5,22.2
2023-01-30,STN_NORTH,45.0,5.8,0.0,46.4,9.4
2023-01-31,STN_NORTH,45.0,-4.9,5.3,89.8,9.7
2023-02-01,STN_NORTH,45.0,-3.9,0.0,61.0,11.9
2023-02-02,STN_NORTH,45.0,-2.4,0.0,76.4,3.5
2023-02-03,STN_NORTH,45.0,-2.8,4.3,73.8,17.2
2023-02-04,STN_NORTH,45.0,0.6,1.6,76.0,3.1
2023-02-05,STN_NORTH,45.0,3.1,0.8,80.7,5.0
2023-02-06,STN_NORTH,45.0,4.5,2.9,84.7,11.2
2023-02-07,STN_NORTH,45.0,-5.2,5.3,73.4,4.0
2023-02-08,STN_NORTH,45.0,-3.3,0.0,46.9,4.2
2023-02-09,STN_NORTH,45.0,-0.4,3.0,79.9,4.8
2023-02-10,STN_NORTH,45.0,-2.6,0.0,57.8,5.0
2023-02-11,STN_NORTH,45.0,3.8,3.1,68.7,1.4
2023-02-12,STN_NORTH,45.0,0.4,0.0,59.1,1.5
2023-02-13,STN_NORTH,45.0,-0.7,0.0,33.9,1.7
2023-02-14,STN_NORTH,45.0,3.4,0.2,85.9,7.2
2023-02-15,STN_NORTH,45.0,1.9,1.0,82.2,18.3
2023-02-16,STN_NORTH,45.0,-1.5,0.0,52.3,10.8
2023-02-17,STN_NORTH,45.0,5.0,2.2,86.2,8.9
2023-02-18,STN_NORTH,45.0,2.5,1.0,90.1,20.7
2023-02-19,STN_NORTH,45.0,6.6,8.6,89.5,9.3
2023-02-20,STN_NORTH,45.0,3.7,5.9,69.6,9.9
2023-02-21,STN_NORTH,45.0,-5.6,0.0,74.3,25.4
2023-02-22,STN_NORTH,45.0,-0.2,10.1,80.5,2.9
2023-02-23,STN_NORTH,45.0,4.2,0.0,67.5,4.5
2023-02-24,STN_NORTH,45.0,4.6,0.0,56.9,3.3
2023-02-25,STN_NORTH,45.0,5.0,0.0,74.3,12.2
2023-02-26,STN_NORTH,45.0,3.0,0.0,50.0,2.3
2023-02-27,STN_NORTH,45.0,2.5,0.0,55.5,1.8
2023-02-28,STN_NORTH,45.0,2.8,0.0,57.4,22.2
2023-03-01,STN_NORTH,45.0,-0.6,0.0,49.8,53.2
2023-03-02,STN_NORTH,45.0,-3.0,0.0,56.6,36.8
2023-03-03,STN_NORTH,45.0,3.0,0.6,92.8,12.5
2023-03-04,STN_NORTH,45.0,4.7,1.0,79.8,13.8
2023-03-05,STN_NORTH,45.0,11.5,0.0,59.2,4.6
2023-03-06,STN_NORTH,45.0,4.6,0.0,67.1,7.4
2023-03-07,STN_NORTH,45.0,3.2,0.0,59.8,28.6
2023-03-08,STN_NORTH,45.0,1.5,4.3,95.8,0.9
2023-03-09,STN_NORTH,45.0,7.8,0.0,60.2,0.4
2023-03-10,STN_NORTH,45.0,7.7,0.0,79.8,0.0
2023-03-11,STN_NORTH,45.0,7.9,0.0,65.7,4.8
2023-03-12,STN_NORTH,45.0,12.2,3.0,83.1,2.3
2023-03-13,STN_NORTH,45.0,6.5,1.0,66.3,8.0
2023-03-14,STN_NORTH,45.0,4.2,9.0,76.9,15.0
2023-03-15,STN_NORTH,45.0,5.6,0.9,84.4,7.9
2023-03-16,STN_NORTH,45.0,9.1,0.5,60.5,5.4
2023-03-17,STN_NORTH,45.0,8.5,0.0,69.5,4.9
2023-03-18,STN_NORTH,45.0,6.5,1.0,97.0,28.7
2023-03-19,STN_NORTH,45.0,8.0,7.4,79.2,5.7
2023-03-20,STN_NORTH,45.0,4.6,0.0,50.9,10.0
2023-03-21,STN_NORTH,45.0,10.0,0.0,74.1,3.2
2023-03-22,STN_NORTH,45.0,3.2,0.0,58.9,25.3
2023-03-23,STN_NORTH,45.0,12.0,0.0,49.0,15.7
2023-03-24,STN_NORTH,45.0,8.3,0.0,58.3,0.6
2023-03-25,STN_NORTH,45.0,9.3,0.4,81.2,0.6
2023-03-26,STN_NORTH,45.0,11.5,0.0,58.2,7.7
2023-03-27,STN_NORTH,45.0,16.0,0.0,54.9,19.2
2023-03-28,STN_NORTH,45.0,8.6,0.0,55.3,24.4
2023-03-29,STN_NORTH,45.0,11.1,7.1,74.9,12.7
2023-03-30,STN_NORTH,45.0,8.1,7.8,92.0,7.6
2023-03-31,STN_NORTH,45.0,8.0,0.0,59.3,21.7
2023-04-01,STN_NORTH,45.0,6.8,0.0,60.7,33.7
2023-04-02,STN_NORTH,45.0,10.6,0.0,62.5,6.7
2023-04-03,STN_NORTH,45.0,12.2,3.9,80.8,15.4
2023-04-04,STN_NORTH,45.0,14.1,7.0,65.3,5.7
2023-04-05,STN_NORTH,45.0,11.6,16.4,70.9,16.4
2023-04-06,STN_NORTH,45.0,7.9,1.8,76.4,4.1
2023-04-07,STN_NORTH,45.0,14.6,0.0,66.7,10.7
2023-04-08,STN_NORTH,45.0,9.7,3.3,73.0,5.4
2023-04-09,STN_NORTH,45.0,12.2,0.7,63.6,7.6
2023-04-10,STN_NORTH,45.0,11.8,0.0,55.3,4.2
2023-04-11,STN_NORTH,45.0,10.8,4.0,86.5,34.5
2023-04-12,STN_NORTH,45.0,13.1,0.2,71.7,13.3
2023-04-13,STN_NORTH,45.0,10.9,2.2,79.1,24.9
2023-04-14,STN_NORTH,45.0,12.7,2.0,67.9,12.7
2023-04-15,STN_NORTH,45.0,9.7,0.0,55.3,10.1
2023-04-16,STN_NORTH,45.0,16.0,5.3,84.0,11.5
2023-04-17,STN_NORTH,45.0,15.7,0.0,47.3,1.4
2023-04-18,STN_NORTH,45.0,12.6,5.0,75.9,20.7
2023-04-19,STN_NORTH,45.0,11.8,0.0,55.2,16.4
2023-04-20,STN_NORTH,45.0,13.1,1.7,71.8,9.4
2023-04-21,STN_NORTH,45.0,13.7,5.1,66.8,9.5
2023-04-22,STN_NORTH,45.0,17.9,6.5,85.4,12.0
2023-04-23,STN_NORTH,45.0,14.8,0.0,67.0,6.7
2023-04-24,STN_NORTH,45.0,16.7,0.0,82.6,2.6
2023-04-25,STN_NORTH,45.0,10.9,0.0,64.7,24.8
2023-04-26,STN_NORTH,45.0,19.3,0.0,61.5,8.8
2023-04-27,STN_NORTH,45.0,21.4,3.9,85.3,5.0
2023-04-28,STN_NORTH,45.0,15.4,0.0,45.0,15.5
2023-04-29,STN_NORTH,45.0,16.2,0.0,74.6,20.7
2023-04-30,STN_NORTH,45.0,9.0,0.2,72.0,11.0
2023-05-01,STN_NORTH,45.0,15.0,0.0,53.7,17.2
2023-05-02,STN_NORTH,45.0,18.2,1.7,77.9,15.2
2023-05-03,STN_NORTH,45.0,17.2,0.0,71.1,4.9
2023-05-04,STN_NORTH,45.0,18.1,0.0,60.6,7.6
2023-05-05,STN_NORTH,45.0,13.8,0.0,61.4,15.1
2023-05-06,STN_NORTH,45.0,13.6,0.0,61.4,26.7
