alcalinity_of_ash,magnesium,total_phenols,nonflavanoid_phenols,proanthocyanins,color_intensity,hue,od280/od315_of_diluted_wines,proline,cultivar
17.5,97.0,2.23,0.26,1.4,3.3,1.27,2.96,710.0,ClassB
18.5,106.0,1.39,0.4,0.94,5.28,0.68,1.75,675.0,ClassC
26.0,88.0,1.92,0.4,1.34,2.6,1.36,3.21,562.0,ClassB
25.0,98.0,2.8,0.53,2.7,13.0,0.57,1.96,660.0,ClassC
18.0,122.0,1.51,0.21,0.94,4.1,0.76,1.29,630.0,ClassC
16.0,98.0,2.98,0.22,1.85,7.22,1.01,3.55,1045.0,ClassA
16.0,97.0,1.61,0.34,1.15,3.8,1.23,2.14,428.0,ClassB
22.0,80.0,2.1,0.42,1.35,2.6,0.79,2.57,580.0,ClassB
20.0,115.0,2.95,0.4,1.72,6.6,1.13,2.57,1130.0,ClassA
14.0,97.0,2.8,0.29,1.98,5.2,1.08,2.85,1045.0,ClassA
21.0,89.0,1.38,0.53,0.8,3.85,0.75,1.27,720.0,ClassC
20.0,120.0,2.8,0.33,1.97,6.2,1.07,2.65,1280.0,ClassA
18.0,88.0,2.85,0.45,2.81,2.3,1.42,2.83,406.0,ClassB
20.0,91.0,1.68,0.44,1.24,9.7,0.62,1.71,660.0,ClassC
19.5,107.0,3.18,0.24,3.58,2.9,0.75,2.81,562.0,ClassB
22.0,112.0,1.48,0.24,1.26,10.8,0.48,1.47,480.0,ClassC
18.0,88.0,2.45,0.25,1.99,2.15,1.15,3.3,290.0,ClassB
19.5,88.0,1.48,0.4,0.97,10.26,0.72,1.75,685.0,ClassC
16.0,89.0,2.6,0.29,1.81,5.6,1.15,2.9,1320.0,ClassA
,134.0,1.6,0.14,1.56,2.5,0.95,2.26,625.0,ClassB
17.0,94.0,2.4,0.27,1.35,3.95,1.02,2.77,1285.0,ClassA
15.0,78.0,2.98,0.26,2.28,5.3,1.12,3.18,502.0,ClassB
16.8,95.0,2.2,0.26,1.57,5.0,1.17,2.82,1280.0,ClassA
,132.0,2.95,0.5,1.35,5.4,1.25,3.0,1235.0,ClassA
16.8,151.0,1.85,0.14,2.5,2.85,1.28,3.07,718.0,ClassB
13.2,128.0,3.0,0.2,2.08,5.1,0.89,3.53,760.0,ClassA
19.0,110.0,2.35,0.29,1.54,4.2,1.1,2.87,1095.0,ClassA
24.0,98.0,1.15,0.27,0.83,5.7,0.66,1.36,560.0,ClassC
20.8,86.0,1.98,0.3,1.53,1.95,0.95,3.33,495.0,ClassB
30.0,139.0,3.3,0.21,1.96,3.35,1.31,3.5,985.0,ClassB
18.0,112.0,1.72,0.43,0.95,2.65,0.96,2.52,500.0,ClassB
20.0,107.0,1.83,0.5,0.8,5.88,0.96,1.82,680.0,ClassC
18.5,88.0,3.52,0.24,1.95,4.5,1.04,2.77,660.0,ClassB
21.0,82.0,2.86,0.21,2.91,2.8,0.75,3.64,380.0,ClassB
19.0,87.0,2.0,0.37,1.87,1.28,0.93,3.05,564.0,ClassB
16.6,101.0,2.61,0.27,1.69,3.8,1.11,4.0,1035.0,ClassA
21.5,106.0,1.7,0.17,0.84,5.0,0.78,1.29,600.0,ClassC
,98.0,2.56,0.34,1.31,2.8,0.8,3.38,438.0,ClassB
14.6,96.0,2.5,0.3,1.98,5.25,1.02,3.58,1290.0,ClassA
22.0,93.0,1.74,0.61,1.55,7.9,0.6,1.48,725.0,ClassC
21.0,85.0,2.6,0.37,1.35,2.76,0.86,3.28,378.0,ClassB
16.2,117.0,3.15,0.34,2.34,6.13,0.95,3.38,795.0,ClassA
16.8,100.0,2.02,0.53,0.62,5.75,0.98,1.59,450.0,ClassB
17.2,104.0,2.42,0.42,1.97,3.84,1.23,2.87,990.0,ClassA
21.0,96.0,1.54,0.53,0.75,4.6,0.77,2.31,600.0,ClassC
,102.0,3.3,0.29,2.96,7.5,1.2,3.0,1547.0,ClassA
21.0,,2.55,0.26,1.22,2.0,0.9,2.78,325.0,ClassB
21.5,92.0,1.93,0.45,1.25,8.42,0.55,1.62,650.0,ClassC
20.0,103.0,1.75,0.6,1.05,3.8,1.23,2.5,607.0,ClassB
18.5,81.0,1.6,0.52,1.64,2.4,1.08,2.27,480.0,ClassB
14.8,136.0,1.9,0.35,2.76,3.4,1.06,2.31,750.0,ClassB
27.0,97.0,1.9,0.63,1.14,7.5,0.67,1.73,880.0,ClassC
20.0,120.0,1.59,0.43,1.35,10.2,0.59,1.56,835.0,ClassC
21.0,102.0,1.5,0.43,1.3,4.0,0.6,1.68,830.0,ClassC
25.0,96.0,1.79,0.63,1.1,5.0,0.82,1.69,515.0,ClassC
17.0,,2.53,0.55,0.42,3.17,1.02,1.93,750.0,ClassB
16.5,108.0,3.3,0.32,1.86,8.7,1.23,2.82,1680.0,ClassA
17.8,95.0,2.48,0.26,1.46,3.93,1.09,3.63,1015.0,ClassA
15.2,112.0,3.27,0.34,1.97,6.75,1.05,2.85,1450.0,ClassA
19.0,86.0,2.42,0.3,1.43,2.5,1.38,3.12,278.0,ClassB
19.5,89.0,1.8,0.48,1.56,9.01,0.57,1.64,480.0,ClassC
16.1,93.0,2.85,0.34,1.45,4.8,0.92,3.22,1195.0,ClassA
21.0,101.0,3.38,0.13,1.65,3.21,0.99,3.13,886.0,ClassB
21.5,85.0,2.46,0.52,2.01,1.9,1.71,2.87,407.0,ClassB
16.0,101.0,3.1,0.21,2.14,6.1,0.91,3.33,985.0,ClassA
23.0,101.0,2.83,0.43,1.95,2.57,1.19,3.13,463.0,ClassB
20.0,96.0,2.9,0.32,1.83,3.25,0.8,3.39,625.0,ClassB
18.6,102.0,2.41,0.25,1.98,4.5,1.03,3.52,770.0,ClassA
20.5,95.0,1.68,0.52,1.06,7.7,0.64,1.74,740.0,ClassC
19.0,87.0,3.5,0.19,1.87,4.45,1.22,2.87,420.0,ClassB
18.8,103.0,2.75,0.32,2.38,6.2,1.07,2.75,1060.0,ClassA
19.5,86.0,1.39,0.48,0.64,9.899999,0.57,1.63,470.0,ClassC
24.0,87.0,1.88,0.27,1.03,3.74,0.98,2.78,472.0,ClassB
16.0,85.0,2.55,0.29,1.77,2.9,1.23,2.74,428.0,ClassB
15.2,116.0,2.7,0.17,1.66,5.1,0.96,3.36,845.0,ClassA
21.5,86.0,1.7,0.47,0.86,7.65,0.54,1.86,625.0,ClassC
21.0,88.0,2.3,0.5,1.04,7.65,0.56,1.58,520.0,ClassC
20.0,89.0,1.4,0.37,0.64,5.6,0.7,2.47,780.0,ClassC
21.0,118.0,2.8,0.39,1.82,4.32,1.04,2.93,735.0,ClassA
22.5,85.0,1.65,0.61,1.62,4.8,0.84,2.01,515.0,ClassB
26.5,102.0,2.2,0.43,1.71,2.08,0.92,3.12,365.0,ClassB
18.0,98.0,2.45,0.29,1.44,4.25,1.12,2.51,1105.0,ClassA
17.6,121.0,2.6,0.31,1.25,5.05,1.06,3.58,1295.0,ClassA
25.0,86.0,2.95,0.21,1.87,3.38,1.36,3.16,410.0,ClassB
15.5,110.0,2.6,0.34,1.36,4.6,1.09,2.78,880.0,ClassA
16.0,80.0,1.63,0.43,0.83,3.4,0.7,2.12,372.0,ClassB
16.0,101.0,2.05,0.63,0.41,3.27,1.25,1.67,680.0,ClassB
18.1,98.0,2.42,0.37,2.08,4.6,1.19,2.3,678.0,ClassB
20.7,80.0,1.38,0.58,1.62,3.05,0.96,2.06,495.0,ClassB
17.5,85.0,2.0,0.6,1.25,5.45,0.75,1.51,650.0,ClassC
19.5,88.0,1.62,0.58,0.88,5.7,0.81,1.82,580.0,ClassC
22.5,,2.0,0.34,1.61,2.06,1.06,2.96,345.0,ClassB
17.4,108.0,2.88,0.32,2.08,8.9,1.12,3.1,1260.0,ClassA
16.4,118.0,2.6,0.21,1.62,5.85,0.92,3.2,1060.0,ClassA
,124.0,2.63,0.47,1.92,3.58,1.13,3.2,830.0,ClassA
22.0,106.0,1.65,0.6,0.96,5.58,0.87,2.11,570.0,ClassC
20.4,103.0,1.1,0.37,1.46,3.05,0.906,1.82,870.0,ClassB
25.5,116.0,2.2,0.26,1.56,7.1,0.61,1.33,425.0,ClassC
28.5,92.0,2.13,0.58,1.76,3.0,0.97,2.44,466.0,ClassB
21.6,84.0,1.95,0.48,1.35,2.8,1.0,2.75,680.0,ClassB
16.0,96.0,2.65,0.26,1.98,4.7,1.04,3.59,1035.0,ClassA
20.0,94.0,2.74,0.29,2.49,2.65,0.96,3.26,680.0,ClassB
19.0,104.0,1.89,0.45,1.03,2.95,1.45,2.23,355.0,ClassB
20.0,80.0,0.98,0.4,0.68,4.9,0.58,1.33,415.0,ClassC
16.0,126.0,3.0,0.24,2.1,5.65,1.09,3.71,780.0,ClassA
12.4,92.0,2.72,0.17,2.91,7.2,1.12,2.91,1150.0,ClassA
17.5,103.0,2.64,0.32,1.66,4.36,0.82,3.0,680.0,ClassA
19.5,86.0,2.5,0.37,1.42,2.06,0.94,2.44,415.0,ClassB
22.5,,3.0,0.29,2.38,5.7,1.19,2.71,1285.0,ClassA
18.6,101.0,2.8,0.3,2.81,5.68,1.03,3.17,1185.0,ClassA
17.2,112.0,2.85,0.3,1.46,7.3,1.28,2.88,1310.0,ClassA
22.0,90.0,1.35,0.41,1.03,9.58,0.7,1.68,615.0,ClassC
21.0,,2.48,0.42,1.44,3.08,1.1,2.31,434.0,ClassB
18.8,90.0,2.45,0.27,1.48,4.28,0.91,3.0,1035.0,ClassA
18.5,112.0,1.38,0.29,1.14,8.21,0.65,2.0,855.0,ClassC
18.9,111.0,2.85,0.3,1.25,5.24,0.87,3.33,1080.0,ClassA
16.0,102.0,3.25,0.27,2.19,4.9,1.04,3.44,1065.0,ClassA
15.0,101.0,3.25,0.17,1.7,5.43,0.88,3.56,1095.0,ClassA
18.0,99.0,2.2,0.3,1.46,2.62,1.23,3.16,450.0,ClassB
11.2,100.0,2.65,0.26,1.28,4.38,1.05,3.4,1050.0,ClassA
17.0,107.0,3.0,0.28,2.03,5.04,0.88,3.35,885.0,ClassA
24.5,88.0,2.22,0.4,1.9,2.12,0.89,2.78,342.0,ClassB
19.6,78.0,2.11,0.27,1.04,4.68,1.12,3.48,510.0,ClassB
20.5,100.0,2.7,0.26,1.86,5.1,1.04,3.47,920.0,ClassA
16.8,113.0,3.85,0.24,2.18,7.8,0.86,3.45,1480.0,ClassA
19.0,92.0,2.36,0.39,2.08,2.7,0.86,3.02,312.0,ClassB
20.0,120.0,1.65,0.53,1.46,9.3,0.6,1.62,840.0,ClassC
22.5,89.0,2.6,0.52,2.29,11.75,0.57,1.78,620.0,ClassC
22.0,86.0,1.45,0.5,1.63,3.6,1.05,2.65,450.0,ClassB
18.5,94.0,1.62,0.63,0.94,7.1,0.73,1.58,695.0,ClassC
17.1,,3.0,0.39,1.68,6.3,1.13,2.93,1375.0,ClassA
24.0,78.0,2.0,0.4,1.4,2.2,1.31,2.72,630.0,ClassB
18.0,98.0,3.02,0.17,1.35,3.25,1.16,2.96,345.0,ClassB
24.5,96.0,2.05,0.56,1.35,9.2,0.61,1.6,560.0,ClassC
22.5,88.0,1.28,0.52,1.15,6.62,0.78,1.75,520.0,ClassC
20.0,96.0,2.53,0.28,1.66,3.52,1.12,3.82,845.0,ClassA
14.0,111.0,3.88,0.32,1.87,7.05,1.01,3.26,1190.0,ClassA
10.6,,1.98,0.28,0.42,1.95,1.05,1.82,520.0,ClassB
16.3,118.0,3.2,0.26,2.03,6.38,0.94,3.31,970.0,ClassA
20.5,116.0,2.96,0.2,2.45,6.25,0.98,3.03,1120.0,ClassA
19.0,162.0,2.5,0.32,3.28,2.6,1.16,2.63,937.0,ClassB
15.5,98.0,2.4,0.28,1.37,3.7,1.18,2.69,1020.0,ClassA
