trans_id,amt,trans_type,acct_id,trans_date
0,999999.0,transfer,16397,2023-01-01 00:00:00
1,93.08678494144077,purchase,45525,2023-01-01 01:00:00
2,132.38442690503462,transfer,63072,2023-01-01 02:00:00
3,176.15149282040127,purchase,93820,2023-01-01 03:00:00
4,88.2923312638332,transfer,94530,2023-01-01 04:00:00
5,88.29315215254097,transfer,33284,2023-01-01 05:00:00
6,178.96064077536957,withdrawal,71330,2023-01-01 06:00:00
7,138.37173645764543,purchase,93369,2023-01-01 07:00:00
8,76.5262807032524,withdrawal,35122,2023-01-01 08:00:00
9,127.12800217929824,purchase,80553,2023-01-01 09:00:00
10,76.82911535937689,transfer,91906,2023-01-01 10:00:00
11,76.71351232148716,transfer,72812,2023-01-01 11:00:00
12,112.0981135783017,purchase,17999,2023-01-01 12:00:00
13,4.3359877671101055,withdrawal,32436,2023-01-01 13:00:00
14,,withdrawal,52963,2023-01-01 14:00:00
15,71.88562353795136,withdrawal,12096,2023-01-01 15:00:00
16,49.35844398327881,withdrawal,35279,2023-01-01 16:00:00
17,115.7123666297637,transfer,36201,2023-01-01 17:00:00
18,54.598796223939445,transfer,29715,2023-01-01 18:00:00
19,29.384814933235415,transfer,39309,2023-01-01 19:00:00
20,173.2824384460777,transfer,25078,2023-01-01 20:00:00
21,88.71118497567322,transfer,66614,2023-01-01 21:00:00
22,,withdrawal,15105,2023-01-01 22:00:00
23,639.268663669618,withdrawal,12839,2023-01-01 23:00:00
24,72.78086377374086,withdrawal,78920,2023-01-02 00:00:00
25,105.54612948549331,withdrawal,53619,2023-01-02 01:00:00
26,42.45032112888486,transfer,52821,2023-01-02 02:00:00
27,118.7849009172836,transfer,23493,2023-01-02 03:00:00
28,69.96806550405975,transfer,27069,2023-01-02 04:00:00
29,85.41531251033616,purchase,17531,2023-01-02 05:00:00
30,69.91466938853016,withdrawal,47051,2023-01-02 06:00:00
31,192.6139092254469,withdrawal,17736,2023-01-02 07:00:00
