sample_id,group,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10
S1,Healthy,4.2,3.1,5.8,2.9,6.1,3.5,4.8,2.7,5.2,3.9
S2,Healthy,4.0,2.9,6.0,3.1,5.9,3.3,4.6,2.9,5.0,4.1
S3,Healthy,4.3,3.2,5.7,2.8,6.2,3.6,4.9,2.6,5.3,3.8
S4,Healthy,4.1,3.0,5.9,3.0,6.0,3.4,4.7,2.8,5.1,4.0
S5,Healthy,4.2,3.1,5.8,2.9,6.1,3.5,4.8,2.7,5.2,3.9
S6,Disease,8.5,3.0,2.9,5.8,6.0,3.4,9.6,2.8,5.1,8.2
S7,Disease,8.8,2.8,2.7,6.2,5.8,3.2,9.9,2.6,5.0,8.5
S8,Disease,8.3,3.1,3.1,5.5,6.2,3.6,9.4,2.9,5.3,8.0
S9,Disease,8.6,2.9,2.8,5.9,5.9,3.3,9.7,2.7,5.1,8.3
S10,Disease,8.7,3.0,3.0,6.0,6.1,3.5,9.8,2.8,5.2,8.4
