applicant_id,gender,race,income,credit_score,loan_amount,approved,actual_default
1,Male,White,75000,720,25000,1,0
2,Female,White,68000,695,20000,1,0
3,Male,Non-White,52000,650,18000,0,0
4,Female,Non-White,48000,630,15000,0,1
5,Male,White,88000,750,35000,1,0
6,Female,White,72000,710,22000,1,0
7,Male,Non-White,61000,670,20000,0,0
8,Female,Non-White,55000,645,17000,0,0
9,Male,White,95000,780,42000,1,0
10,Female,White,65000,700,18000,1,1
11,Male,Non-White,58000,660,19000,1,0
12,Female,Non-White,44000,620,14000,0,1
13,Male,White,82000,740,30000,1,0
14,Female,White,70000,705,21000,1,0
15,Male,Non-White,49000,640,16000,0,0
16,Female,Non-White,53000,655,18000,0,0
17,Male,White,91000,760,38000,1,0
18,Female,White,67000,698,19000,1,0
19,Male,Non-White,63000,672,21000,1,0
20,Female,Non-White,46000,628,15000,0,1
