transaction_id,amount,hour,merchant_category,distance_from_home,prev_transactions,is_fraud
1,42.50,14,retail,2.1,45,0
2,1850.00,2,online,150.3,3,1
3,28.75,10,grocery,0.8,120,0
4,2340.00,3,electronics,200.5,1,1
5,15.20,12,restaurant,1.2,89,0
6,67.80,16,retail,3.5,67,0
7,1120.00,1,online,95.2,2,1
8,33.40,9,grocery,0.5,200,0
9,89.60,18,gas,4.2,55,0
10,2780.00,4,jewelry,350.1,1,1
11,22.30,11,restaurant,1.8,134,0
12,55.90,15,retail,2.9,78,0
13,980.00,2,electronics,88.7,2,1
14,41.20,13,grocery,0.6,156,0
15,18.70,8,gas,3.1,92,0
16,1650.00,3,online,175.4,1,1
17,76.40,17,retail,5.2,43,0
18,29.80,10,restaurant,2.0,110,0
19,63.50,14,grocery,1.1,88,0
20,3100.00,1,jewelry,420.8,0,1
