date,asset_A_return,asset_B_return,asset_C_return
2024-01-02,0.012,-0.005,0.008
2024-01-03,-0.008,0.015,-0.003
2024-01-04,0.005,0.007,0.012
2024-01-05,-0.023,-0.018,-0.031
2024-01-08,0.018,0.011,0.009
2024-01-09,-0.004,0.003,-0.006
2024-01-10,0.009,-0.002,0.015
2024-01-11,-0.031,-0.025,-0.042
2024-01-12,0.022,0.014,0.018
2024-01-15,-0.006,0.008,-0.004
2024-01-16,0.011,0.006,0.013
2024-01-17,-0.015,-0.012,-0.019
2024-01-18,0.007,0.003,0.010
2024-01-19,-0.042,-0.035,-0.058
2024-01-22,0.025,0.019,0.021
2024-01-23,-0.009,0.004,-0.007
2024-01-24,0.014,0.008,0.016
2024-01-25,-0.018,-0.014,-0.025
2024-01-26,0.008,0.005,0.011
2024-01-29,-0.003,0.009,-0.002
