date,portfolio_return,rf,mkt_rf,smb,hml
2023-01,0.0312,0.0038,0.0285,0.0145,-0.0082
2023-02,-0.0128,0.0038,-0.0218,0.0053,0.0124
2023-03,0.0287,0.0038,0.0251,0.0078,-0.0056
2023-04,0.0156,0.0038,0.0134,0.0042,0.0031
2023-05,-0.0093,0.0038,-0.0157,0.0068,0.0098
2023-06,0.0421,0.0038,0.0389,0.0182,-0.0143
2023-07,0.0198,0.0038,0.0162,0.0059,-0.0037
2023-08,-0.0241,0.0038,-0.0287,0.0089,0.0156
2023-09,-0.0172,0.0038,-0.0198,0.0112,0.0203
2023-10,0.0089,0.0038,0.0057,0.0033,-0.0021
2023-11,0.0334,0.0038,0.0298,0.0128,-0.0098
2023-12,0.0267,0.0038,0.0231,0.0097,-0.0074
2024-01,0.0143,0.0042,0.0118,0.0045,-0.0029
2024-02,0.0389,0.0042,0.0352,0.0167,-0.0134
2024-03,-0.0087,0.0042,-0.0123,0.0056,0.0087
2024-04,0.0214,0.0042,0.0179,0.0072,-0.0051
2024-05,-0.0156,0.0042,-0.0194,0.0098,0.0145
2024-06,0.0298,0.0042,0.0259,0.0118,-0.0091
2024-07,0.0178,0.0042,0.0142,0.0053,-0.0034
2024-08,-0.0134,0.0042,-0.0171,0.0075,0.0123
