user_id,device,home,product_page,add_to_cart,checkout,purchase
U001,mobile,1,1,0,0,0
U002,desktop,1,1,1,1,1
U003,mobile,1,1,1,0,0
U004,desktop,1,1,1,1,1
U005,mobile,1,0,0,0,0
U006,desktop,1,1,1,1,0
U007,mobile,1,1,0,0,0
U008,desktop,1,1,1,1,1
U009,mobile,1,1,1,0,0
U010,desktop,1,1,1,0,0
U011,mobile,1,0,0,0,0
U012,desktop,1,1,1,1,1
U013,mobile,1,1,0,0,0
U014,desktop,1,1,1,1,0
U015,mobile,1,1,1,1,0
U016,desktop,1,1,1,1,1
U017,mobile,1,0,0,0,0
U018,desktop,1,1,1,0,0
U019,mobile,1,1,0,0,0
U020,desktop,1,1,1,1,1
