week,product,price,competitor_price,quantity_sold,promotion
1,Widget_A,29.99,32.50,1250,0
2,Widget_A,27.99,32.50,1480,0
3,Widget_A,34.99,32.50,980,0
4,Widget_A,24.99,30.00,1820,1
5,Widget_A,29.99,31.00,1230,0
6,Widget_A,32.99,31.00,1050,0
7,Widget_A,26.99,33.00,1560,0
8,Widget_A,29.99,35.00,1310,0
9,Widget_A,31.99,33.50,1100,0
10,Widget_A,28.99,32.00,1380,0
11,Widget_A,25.99,31.50,1690,1
12,Widget_A,33.99,34.00,970,0
13,Widget_A,29.99,33.00,1280,0
14,Widget_A,27.49,32.50,1520,0
15,Widget_A,30.99,31.00,1150,0
16,Widget_A,26.49,30.50,1640,0
17,Widget_A,29.99,32.00,1240,0
18,Widget_A,35.99,33.00,890,0
19,Widget_A,28.49,31.50,1410,0
20,Widget_A,29.99,32.50,1220,0
