week,date,weekly_sales
1,2023-01-02,45200
2,2023-01-09,43800
3,2023-01-16,42100
4,2023-01-23,41500
5,2023-01-30,43200
6,2023-02-06,44100
7,2023-02-13,58200
8,2023-02-20,45800
9,2023-02-27,44300
10,2023-03-06,46200
11,2023-03-13,47800
12,2023-03-20,49100
13,2023-03-27,55400
14,2023-04-03,52300
15,2023-04-10,48900
16,2023-04-17,50100
17,2023-04-24,51200
18,2023-05-01,53400
19,2023-05-08,55700
20,2023-05-15,57200
21,2023-05-22,58900
22,2023-05-29,62100
23,2023-06-05,59800
24,2023-06-12,57400
25,2023-06-19,55200
26,2023-06-26,53800
