cement,water,fly_ash,superplasticizer,coarse_aggregate,age_days,compressive_strength_MPa
540.0,162.0,0.0,2.5,1040.0,28,79.99
540.0,162.0,0.0,2.5,1055.0,28,61.89
332.5,142.0,228.0,0.0,932.0,270,40.27
332.5,142.0,228.0,0.0,932.0,365,41.05
198.6,132.0,132.4,0.0,978.4,360,44.30
266.0,114.0,0.0,6.8,1125.0,90,47.03
380.0,228.0,0.0,0.0,932.0,7,25.46
380.0,228.0,0.0,0.0,932.0,28,31.18
266.0,228.0,0.0,0.0,932.0,28,20.59
475.0,228.0,0.0,0.0,932.0,28,36.45
198.6,132.0,132.4,0.0,978.4,90,34.85
198.6,132.0,132.4,0.0,978.4,180,41.90
425.0,106.0,0.0,7.4,1143.0,28,54.58
425.0,106.0,0.0,7.4,1143.0,90,67.87
310.0,141.0,166.0,2.0,1032.0,28,38.07
310.0,141.0,166.0,2.0,1032.0,90,45.18
310.0,141.0,166.0,2.0,1032.0,180,50.34
450.0,140.0,0.0,7.0,1060.0,28,58.50
450.0,140.0,0.0,7.0,1060.0,90,72.30
250.0,175.0,100.0,0.0,1050.0,28,26.14
