time_s,noisy_signal,true_signal
0.00,0.23,0.00
0.10,1.15,0.59
0.20,2.18,1.18
0.30,2.43,1.76
0.40,2.65,2.35
0.50,3.28,2.94
0.60,3.87,3.53
0.70,3.91,4.05
0.80,4.38,4.54
0.90,4.43,5.00
1.00,5.21,5.00
1.10,4.67,5.00
1.20,4.82,4.55
1.30,4.24,4.05
1.40,3.57,3.54
1.50,3.35,2.94
1.60,2.88,2.35
1.70,2.14,1.76
1.80,1.43,1.18
1.90,0.98,0.59
2.00,0.31,0.00
2.10,-0.41,-0.59
2.20,-1.28,-1.18
2.30,-1.98,-1.76
2.40,-2.51,-2.35
2.50,-3.12,-2.94
2.60,-3.78,-3.53
2.70,-4.15,-4.05
2.80,-4.62,-4.54
2.90,-4.87,-5.00
3.00,-5.23,-5.00
