sample_id,tensile_strength,yield_strength,elongation,hardness,elastic_modulus,density,thermal_conductivity
S01,850,720,12.5,280,210,7.85,52
S02,920,800,10.2,310,215,7.92,48
S03,650,520,18.3,220,195,7.71,61
S04,1100,950,8.5,380,220,8.05,43
S05,780,640,14.8,255,205,7.78,56
S06,1250,1080,6.2,420,225,8.12,38
S07,700,570,16.5,235,200,7.74,59
S08,980,840,9.8,325,218,7.96,46
S09,600,480,20.1,205,190,7.65,65
S10,1050,900,8.1,355,222,8.01,44
S11,830,695,13.2,272,208,7.83,53
S12,760,620,15.4,248,203,7.77,57
S13,1180,1020,7.0,400,223,8.09,40
S14,890,755,11.8,295,213,7.89,50
S15,680,545,17.9,228,197,7.72,62
