col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010,col_011,col_012,col_013,col_014,col_015,col_016,col_017,col_018,col_019,col_020
Food,East,Online,23.02,20.73,0.1097,133.9,411.56,7.229,0.6442,1,58,3.0,0,1,0,6.438,3.116,5.616,2.307
Electronics,West,Online,197.89,1398.05,0.0753,158.06,500.6,9.991,0.5833,1,37,7.0,1,1,1,6.546,2.797,5.882,2.054
Books,North,Online,20.49,22.01,0.0663,181.5,568.74,5.682,0.3648,0,28,6.0,0,0,0,6.527,3.008,5.839,2.151
Electronics,East,Retail,271.63,277.98,0.1057,133.77,424.62,4.089,0.2016,0,75,5.0,0,1,1,5.974,3.164,5.621,2.331
Food,North,Online,19.23,17.75,0.1051,228.48,674.88,6.184,0.1384,0,49,4.0,1,1,1,6.02,3.1,5.057,2.015
Sports,North,Retail,53.05,51.5,0.2802,99.93,346.75,4.836,0.5394,1,59,6.0,0,0,1,6.707,2.988,5.923,2.472
Home,South,Retail,98.61,124.0,0.1929,196.23,551.16,13.49,0.1273,0,69,5.0,0,1,0,5.598,3.171,4.991,2.051
Electronics,East,Online,299.72,286.63,0.1215,133.06,473.23,7.769,0.6997,1,52,2.0,0,0,0,5.993,3.214,5.386,1.957
Home,East,Retail,67.87,85.21,0.2535,167.36,490.77,6.826,0.0834,0,64,1.0,0,1,0,6.177,2.884,5.121,1.802
Clothing,East,Online,49.06,50.05,0.1413,231.52,701.6,10.429,0.6628,1,81,1.0,0,1,0,5.521,3.426,3.959,1.516
Sports,North,Online,51.43,41.84,0.0714,83.17,328.08,5.891,0.3999,0,63,3.0,1,0,0,4.901,2.589,2.786,0.806
Electronics,West,Online,125.28,161.3,0.063,163.09,523.63,7.425,0.1693,0,74,4.0,0,0,0,7.505,3.291,7.261,2.821
Sports,East,Retail,58.35,68.4,0.1486,225.7,658.6,6.021,0.3344,0,35,3.0,0,0,0,7.037,2.915,6.42,2.884
Food,North,Online,17.06,20.72,0.3122,185.58,476.21,9.99,0.2646,0,24,1.0,0,0,0,6.065,2.666,4.24,1.862
Clothing,West,Online,44.42,46.92,0.1988,190.21,542.97,6.981,0.5025,0,33,1.0,0,0,0,6.649,3.012,5.868,2.493
Electronics,West,Retail,259.73,177.52,0.1718,141.88,443.38,10.789,0.2897,0,81,3.0,0,0,0,5.064,3.252,3.968,1.733
Sports,South,Online,62.75,88.72,0.23,219.71,676.73,11.488,0.5647,1,55,3.0,1,0,0,6.8,3.05,6.179,2.129
Books,South,Retail,21.45,22.52,0.2656,131.19,452.38,7.786,0.4116,0,40,4.0,1,1,0,7.104,3.453,6.374,2.42
Home,South,Online,88.71,84.03,0.0249,205.11,556.68,7.538,0.2324,0,77,3.0,0,0,0,6.401,3.155,5.043,2.069
Clothing,South,Retail,56.72,68.28,0.0961,118.26,364.45,9.058,0.1926,0,77,8.0,1,1,1,4.916,3.038,2.967,0.793
Clothing,North,Online,54.13,65.9,0.0682,26.48,119.14,6.839,0.1215,0,56,5.0,0,0,0,6.135,2.72,4.928,1.499
Clothing,South,Online,46.21,59.9,0.2354,134.54,391.84,6.438,0.0267,0,39,4.0,0,1,0,5.219,2.836,4.097,1.314
Home,East,Partner,60.68,45.43,0.2872,131.67,430.99,7.825,0.5588,0,41,4.0,0,0,0,5.977,3.012,4.312,1.667
Electronics,North,Partner,246.51,310.5,0.0674,184.49,573.6,4.208,0.5253,0,81,4.0,1,1,0,4.766,2.827,3.057,1.063
Clothing,West,Online,44.17,64.08,0.0618,127.13,477.99,54.495,0.1475,0,55,6.0,1,0,1,5.747,3.53,4.423,1.761
Books,East,Retail,26.72,31.35,0.0153,107.28,368.85,3.692,0.6215,1,56,4.0,1,1,0,5.444,2.929,4.159,1.584
Clothing,South,Retail,49.02,63.88,0.028,117.9,365.56,5.369,0.4026,0,30,5.0,1,1,1,5.625,2.646,4.213,1.663
Electronics,South,Retail,293.84,292.84,0.1194,180.61,571.96,30.58,0.2384,0,65,1.0,0,0,0,6.018,3.16,4.88,2.112
Home,East,Retail,64.51,88.01,0.3211,183.62,569.52,6.581,0.094,0,59,1.0,0,1,0,5.587,2.946,5.232,2.086
Books,South,Retail,35.1,55.17,0.1073,109.18,340.55,9.036,0.3287,0,69,3.0,1,0,0,5.426,3.026,4.183,1.845
Books,West,Online,26.29,27.76,0.0353,90.97,314.85,5.001,0.4583,0,66,4.0,1,0,0,3.948,3.183,2.222,0.662
Electronics,East,Online,314.5,450.92,0.1868,110.29,277.11,12.773,0.5522,1,35,3.0,0,1,0,6.192,3.596,5.29,2.194
Home,South,Online,94.53,111.89,0.069,127.8,368.42,3.099,0.0948,0,65,5.0,0,1,0,5.779,2.796,4.583,1.951
Clothing,North,Online,39.44,42.3,0.1509,174.2,557.6,6.99,0.3146,0,33,6.0,0,0,0,6.639,2.727,5.475,2.053
Electronics,North,Partner,262.24,260.9,0.0523,149.78,485.48,12.462,0.3845,0,68,1.0,0,0,0,6.106,2.959,4.89,1.98
Home,South,Online,62.94,71.36,0.077,213.3,683.21,4.39,0.0786,0,72,5.0,0,0,1,5.025,2.818,3.606,1.34
Food,South,Online,14.03,12.99,0.0579,176.95,592.36,5.12,0.0959,0,39,6.0,0,0,0,5.18,3.018,4.409,1.751
Books,West,Online,22.56,19.39,0.3895,220.77,685.52,11.36,0.211,0,24,6.0,0,0,0,5.822,3.166,4.082,1.399
Sports,South,Online,86.53,99.61,0.2488,174.56,495.53,4.528,0.2371,0,37,5.0,0,0,0,4.942,3.604,4.113,1.532
Clothing,West,Retail,31.64,37.94,0.0846,143.09,478.44,6.261,0.2089,0,74,3.0,1,1,1,7.133,3.122,6.881,2.624
Clothing,North,Online,47.0,63.18,0.0436,165.65,486.62,8.578,0.5896,0,50,6.0,1,0,0,5.378,3.471,4.387,1.55
Home,West,Partner,77.42,94.16,0.026,213.32,663.36,8.37,0.713,1,63,5.0,1,1,1,5.336,3.043,4.19,1.482
Books,South,Retail,25.05,39.01,0.0685,146.25,463.8,7.398,0.3479,0,46,2.0,0,0,0,6.29,2.955,4.703,1.837
Electronics,South,Online,260.69,316.4,0.0571,148.73,479.37,3.696,0.4013,0,28,4.0,0,0,0,5.974,3.467,4.637,2.06
Home,North,Online,63.18,90.49,0.0877,167.7,470.45,14.099,0.1362,0,30,1.0,0,0,0,4.981,3.155,3.726,1.286
Home,South,Retail,53.24,46.9,0.064,128.65,416.38,10.767,0.2773,0,36,3.0,0,0,0,5.848,3.316,5.307,2.093
Home,North,Online,73.79,101.75,0.1172,176.09,491.17,11.645,0.3532,0,41,2.0,0,0,0,6.549,2.874,6.274,2.315
Clothing,North,Retail,45.19,49.9,0.334,276.21,779.49,4.771,0.2967,0,36,6.0,1,0,1,6.609,2.945,5.751,2.252
Food,North,Retail,12.7,12.06,0.1269,170.33,565.75,11.277,0.178,0,32,3.0,0,0,0,5.303,3.758,3.259,1.244
Books,East,Online,22.62,25.18,0.2551,211.78,609.96,6.857,0.1454,0,42,3.0,0,0,0,5.734,3.172,4.297,1.776
Home,East,Retail,96.42,124.54,0.2344,166.13,514.44,8.134,0.3838,0,61,4.0,1,0,0,6.081,3.131,5.278,2.172
Books,East,Online,23.49,43.34,0.1113,151.18,514.69,7.448,0.2486,0,81,4.0,0,0,0,5.62,3.131,4.171,1.317
Home,South,Online,70.82,87.65,0.1284,193.54,648.98,20.55,0.502,0,25,2.0,1,0,1,6.933,2.934,6.492,2.577
Books,North,Online,23.1,34.62,0.1161,128.35,425.64,6.594,0.4115,0,42,1.0,0,0,0,6.816,2.815,6.182,2.369
